flight_id,tail_id,client_id,actions
FL1119,TAIL1007,AL4,reset_seat;reset_lighting;reset_galley;partial_panel
FL1120,TAIL1007,AL4,reset_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1128,TAIL1008,AL3,reset_seat;reset_lighting;partial_water_waste
FL1129,TAIL1008,AL3,reset_seat;reset_galley;partial_panel;reset_water_waste
FL1141,TAIL1008,AL3,reset_seat;reset_lighting;reset_galley;partial_panel;partial_water_waste
FL1144,TAIL1009,AL3,partial_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1157,TAIL1009,AL3,reset_seat;reset_galley;reset_panel;reset_water_waste
FL1160,TAIL1010,AL1,reset_seat;reset_galley;partial_panel
FL1161,TAIL1010,AL1,partial_seat;reset_lighting;latent_resolved_lighting;reset_galley;reset_panel;partial_water_waste
FL1162,TAIL1010,AL1,reset_seat;partial_lighting;partial_galley;reset_panel;reset_water_waste
FL1174,TAIL1010,AL1,reset_seat;reset_lighting;reset_galley;reset_panel
FL1177,TAIL1011,AL2,reset_seat;reset_panel
FL1178,TAIL1011,AL2,reset_seat;partial_lighting;partial_galley;partial_water_waste
FL1179,TAIL1011,AL2,reset_seat;latent_resolved_seat;partial_lighting;reset_galley;reset_water_waste
FL1180,TAIL1011,AL2,reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1183,TAIL1011,AL2,reset_seat;reset_galley;reset_panel;partial_water_waste
FL1188,TAIL1011,AL2,reset_lighting;reset_panel
FL1189,TAIL1011,AL2,reset_seat;partial_lighting;reset_galley;reset_water_waste
FL1191,TAIL1012,AL2,reset_seat;partial_lighting;partial_galley
FL1192,TAIL1012,AL2,reset_seat;reset_galley;reset_water_waste
FL1193,TAIL1012,AL2,reset_seat;reset_lighting;partial_galley;partial_panel;reset_water_waste
FL1194,TAIL1012,AL2,reset_lighting;reset_galley
FL1195,TAIL1012,AL2,reset_seat;partial_galley;reset_panel;reset_water_waste
FL1200,TAIL1012,AL2,partial_lighting;reset_galley;reset_panel
FL1202,TAIL1012,AL2,partial_seat;reset_lighting;reset_water_waste
FL1207,TAIL1012,AL2,reset_seat;reset_lighting;partial_galley;partial_panel;partial_water_waste
FL1210,TAIL1013,AL3,reset_seat;reset_lighting;reset_panel;latent_resolved_panel;reset_water_waste
FL1211,TAIL1013,AL3,reset_galley;reset_panel;reset_water_waste
FL1218,TAIL1013,AL3,partial_seat;reset_galley;reset_panel;reset_water_waste
FL1223,TAIL1013,AL3,partial_seat;partial_lighting;partial_galley;reset_water_waste
FL1225,TAIL1013,AL3,reset_seat;partial_lighting;partial_galley;reset_panel
FL1227,TAIL1014,AL3,partial_lighting;reset_galley;reset_panel;reset_water_waste
FL1228,TAIL1014,AL3,reset_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste;latent_resolved_water_waste
FL1234,TAIL1014,AL3,partial_seat;partial_lighting;reset_galley;reset_panel;reset_water_waste
FL1241,TAIL1014,AL3,reset_seat;partial_lighting;reset_galley;reset_panel;partial_water_waste
FL1246,TAIL1015,AL2,reset_panel;reset_water_waste
FL1247,TAIL1015,AL2,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1261,TAIL1016,AL2,partial_seat;reset_galley;partial_water_waste
FL1262,TAIL1016,AL2,reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1266,TAIL1016,AL2,reset_lighting;reset_galley;partial_water_waste
FL1275,TAIL1017,AL1,reset_seat;partial_lighting;latent_resolved_lighting;partial_galley;reset_panel
FL1276,TAIL1017,AL1,reset_seat;partial_lighting;reset_galley;partial_water_waste
FL1277,TAIL1017,AL1,reset_lighting;reset_panel;partial_water_waste
FL1297,TAIL1018,AL4,reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1312,TAIL1019,AL1,reset_seat;partial_lighting;reset_galley;partial_water_waste
FL1313,TAIL1019,AL1,reset_seat;reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1316,TAIL1019,AL1,reset_seat;partial_galley;partial_panel;reset_water_waste
FL1330,TAIL1019,AL1,reset_seat;partial_lighting;reset_galley;reset_panel;reset_water_waste
FL1332,TAIL1020,AL4,partial_seat;partial_lighting;reset_galley;partial_water_waste
FL1333,TAIL1020,AL4,partial_seat;reset_lighting;partial_galley;partial_water_waste
FL1334,TAIL1020,AL4,reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1337,TAIL1020,AL4,partial_galley;reset_water_waste
FL1338,TAIL1020,AL4,reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1352,TAIL1021,AL1,reset_seat;partial_lighting;reset_panel;reset_water_waste
FL1353,TAIL1021,AL1,reset_seat;partial_lighting;reset_galley;reset_water_waste
FL1366,TAIL1021,AL1,partial_seat;partial_lighting;partial_galley;reset_panel;reset_water_waste
FL1373,TAIL1021,AL1,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1375,TAIL1022,AL1,partial_lighting;reset_galley;partial_panel;partial_water_waste
FL1376,TAIL1022,AL1,reset_galley;latent_resolved_galley;partial_panel;reset_water_waste
FL1377,TAIL1022,AL1,reset_seat;partial_lighting;reset_galley;reset_panel;reset_water_waste
FL1378,TAIL1022,AL1,partial_seat;reset_galley;reset_water_waste
FL1379,TAIL1022,AL1,partial_panel
FL1380,TAIL1022,AL1,partial_seat;partial_lighting;reset_panel;reset_water_waste
FL1381,TAIL1022,AL1,reset_seat;reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1392,TAIL1023,AL3,reset_galley;reset_panel;reset_water_waste
FL1393,TAIL1023,AL3,reset_seat;reset_lighting;partial_panel
FL1396,TAIL1023,AL3,reset_galley;reset_water_waste
FL1401,TAIL1023,AL3,reset_seat;partial_lighting;reset_panel
FL1404,TAIL1023,AL3,reset_lighting;partial_galley;partial_water_waste
FL1406,TAIL1023,AL3,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1407,TAIL1024,AL4,reset_seat;reset_lighting;reset_galley;reset_water_waste
FL1408,TAIL1024,AL4,reset_seat;reset_lighting;reset_galley;partial_panel;partial_water_waste
FL1409,TAIL1024,AL4,reset_seat;reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1412,TAIL1024,AL4,reset_seat;reset_lighting;reset_galley;partial_water_waste
FL1415,TAIL1024,AL4,reset_seat;reset_lighting;reset_panel;partial_water_waste
FL1421,TAIL1024,AL4,partial_seat;reset_galley;reset_panel;reset_water_waste
FL1422,TAIL1025,AL1,reset_seat;partial_lighting;reset_galley;reset_water_waste
FL1423,TAIL1025,AL1,reset_seat;reset_galley
FL1424,TAIL1025,AL1,reset_panel
FL1425,TAIL1025,AL1,partial_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1431,TAIL1025,AL1,partial_seat;partial_lighting;reset_galley;reset_panel
FL1435,TAIL1025,AL1,reset_seat;reset_lighting;reset_galley;partial_panel
FL1438,TAIL1026,AL1,reset_seat;partial_lighting;reset_galley;partial_water_waste
FL1439,TAIL1026,AL1,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1453,TAIL1027,AL1,reset_seat;reset_lighting;partial_galley;partial_panel;partial_water_waste
FL1454,TAIL1027,AL1,reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1461,TAIL1027,AL1,partial_seat;partial_galley;reset_water_waste
FL1470,TAIL1028,AL2,reset_water_waste
FL1471,TAIL1028,AL2,partial_seat;reset_galley;reset_panel;partial_water_waste
FL1472,TAIL1028,AL2,reset_seat;partial_lighting;partial_galley;reset_water_waste
FL1473,TAIL1028,AL2,reset_seat;reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1480,TAIL1028,AL2,reset_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1485,TAIL1028,AL2,reset_seat;latent_resolved_seat;reset_lighting;partial_galley;reset_panel;partial_water_waste
FL1489,TAIL1029,AL2,partial_seat;partial_galley;reset_panel;partial_water_waste
FL1490,TAIL1029,AL2,reset_seat;reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1498,TAIL1029,AL2,partial_seat;reset_galley;partial_panel
FL1506,TAIL1030,AL1,partial_seat;partial_lighting;reset_galley;partial_panel;reset_water_waste;latent_resolved_water_waste
FL1510,TAIL1030,AL1,reset_lighting;reset_galley
FL1511,TAIL1030,AL1,partial_seat;partial_galley;reset_panel;reset_water_waste
FL1520,TAIL1031,AL3,reset_seat;reset_lighting;reset_galley;reset_water_waste
FL1521,TAIL1031,AL3,partial_lighting;reset_panel;reset_water_waste
FL1525,TAIL1031,AL3,partial_seat;reset_lighting;partial_galley
FL1528,TAIL1031,AL3,reset_seat;partial_lighting;reset_panel;reset_water_waste
FL1531,TAIL1031,AL3,reset_seat;reset_panel;reset_water_waste
FL1533,TAIL1031,AL3,reset_seat;reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1539,TAIL1032,AL4,reset_seat;reset_lighting;reset_galley
FL1540,TAIL1032,AL4,reset_water_waste
FL1541,TAIL1032,AL4,reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1545,TAIL1032,AL4,reset_seat;partial_lighting;reset_panel;reset_water_waste
FL1548,TAIL1032,AL4,reset_seat;partial_lighting;reset_galley;reset_panel;partial_water_waste
FL1556,TAIL1032,AL4,reset_lighting;partial_panel;reset_water_waste
FL1557,TAIL1033,AL4,partial_seat;partial_galley;partial_panel;reset_water_waste
FL1558,TAIL1033,AL4,reset_seat;reset_panel;partial_water_waste
FL1559,TAIL1033,AL4,reset_seat;reset_lighting;partial_galley;latent_resolved_galley;partial_panel;reset_water_waste
FL1563,TAIL1033,AL4,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1568,TAIL1033,AL4,reset_seat;reset_lighting;partial_galley;partial_panel;reset_water_waste
FL1573,TAIL1034,AL3,reset_galley;reset_panel;reset_water_waste
FL1574,TAIL1034,AL3,reset_seat;reset_lighting;reset_panel;partial_water_waste
FL1579,TAIL1034,AL3,reset_seat;partial_galley;reset_panel;reset_water_waste
FL1581,TAIL1034,AL3,reset_seat;partial_lighting;reset_galley;reset_water_waste
FL1587,TAIL1034,AL3,reset_seat;partial_galley;partial_water_waste
FL1590,TAIL1035,AL4,reset_water_waste
FL1591,TAIL1035,AL4,reset_seat;partial_lighting;reset_panel;reset_water_waste
FL1592,TAIL1035,AL4,partial_seat;reset_lighting;reset_galley;partial_panel
FL1609,TAIL1036,AL1,reset_seat;latent_resolved_seat;partial_lighting;latent_resolved_lighting;partial_galley;partial_panel;partial_water_waste
FL1610,TAIL1036,AL1,reset_seat;reset_lighting;reset_galley;reset_panel
FL1611,TAIL1036,AL1,reset_galley
FL1612,TAIL1036,AL1,reset_seat;reset_galley;reset_panel;reset_water_waste
FL1625,TAIL1037,AL3,reset_seat;latent_resolved_seat;partial_lighting;reset_panel;partial_water_waste
FL1626,TAIL1037,AL3,reset_seat;reset_lighting;reset_galley;partial_water_waste
FL1631,TAIL1037,AL3,reset_seat;reset_lighting;partial_water_waste
FL1641,TAIL1037,AL3,reset_seat;reset_lighting;reset_panel
FL1644,TAIL1038,AL3,partial_lighting;reset_galley;reset_water_waste
FL1645,TAIL1038,AL3,reset_lighting;partial_panel
FL1649,TAIL1038,AL3,partial_seat;partial_lighting;partial_galley
FL1650,TAIL1038,AL3,reset_seat;reset_lighting;reset_galley;reset_water_waste
FL1655,TAIL1039,AL4,partial_seat;latent_resolved_seat;reset_lighting;reset_panel;partial_water_waste
FL1656,TAIL1039,AL4,reset_lighting;reset_panel;reset_water_waste
FL1657,TAIL1039,AL4,partial_seat;reset_lighting;reset_panel
FL1658,TAIL1039,AL4,reset_seat;partial_lighting;reset_galley;partial_panel;partial_water_waste
FL1672,TAIL1039,AL4,partial_seat;reset_lighting;reset_galley;partial_panel
FL1676,TAIL1039,AL4,reset_seat;reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1677,TAIL1040,AL2,partial_seat;reset_lighting;reset_galley;reset_water_waste
FL1685,TAIL1040,AL2,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1690,TAIL1041,AL3,partial_seat;reset_lighting;reset_galley;latent_resolved_galley;reset_panel;reset_water_waste
FL1694,TAIL1041,AL3,reset_seat;reset_galley;reset_panel;partial_water_waste
FL1699,TAIL1041,AL3,partial_seat;reset_lighting;reset_galley;partial_panel
FL1700,TAIL1041,AL3,partial_galley;reset_panel;reset_water_waste
FL1702,TAIL1041,AL3,partial_seat;reset_lighting;reset_galley
FL1704,TAIL1041,AL3,reset_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1707,TAIL1041,AL3,partial_lighting;reset_galley;reset_panel;reset_water_waste
FL1711,TAIL1042,AL1,partial_lighting;reset_galley;partial_panel;reset_water_waste
FL1712,TAIL1042,AL1,reset_seat;reset_lighting;reset_panel;reset_water_waste
FL1719,TAIL1042,AL1,partial_seat;reset_galley;reset_panel
FL1720,TAIL1042,AL1,reset_seat;reset_galley
FL1722,TAIL1042,AL1,reset_lighting;reset_panel;reset_water_waste
FL1733,TAIL1043,AL4,partial_seat;partial_lighting;reset_galley;reset_panel;reset_water_waste
FL1735,TAIL1043,AL4,reset_lighting;reset_galley;partial_water_waste
FL1743,TAIL1043,AL4,reset_galley;reset_panel;partial_water_waste
FL1744,TAIL1043,AL4,partial_seat;reset_lighting;reset_galley
FL1746,TAIL1043,AL4,partial_panel;reset_water_waste
FL1747,TAIL1043,AL4,partial_lighting;reset_panel;partial_water_waste
FL1748,TAIL1043,AL4,reset_seat;reset_lighting;partial_galley;partial_panel
FL1751,TAIL1044,AL4,reset_lighting;reset_panel
FL1752,TAIL1044,AL4,reset_seat;reset_lighting;partial_water_waste
FL1753,TAIL1044,AL4,partial_seat;reset_lighting;partial_galley;reset_water_waste
FL1754,TAIL1044,AL4,reset_seat;partial_lighting;partial_galley;reset_water_waste
FL1756,TAIL1044,AL4,partial_seat;partial_lighting;reset_galley;reset_panel
FL1762,TAIL1044,AL4,partial_seat;partial_lighting;partial_galley;reset_panel;partial_water_waste
FL1764,TAIL1045,AL4,partial_seat;reset_lighting;partial_galley;partial_panel;partial_water_waste
FL1765,TAIL1045,AL4,partial_lighting;reset_galley;reset_panel;partial_water_waste
FL1766,TAIL1045,AL4,reset_lighting;reset_panel;reset_water_waste
FL1767,TAIL1045,AL4,reset_lighting;reset_galley;partial_water_waste
FL1768,TAIL1045,AL4,reset_seat;reset_lighting;reset_galley;reset_water_waste
FL1774,TAIL1045,AL4,reset_seat;reset_lighting;partial_galley;partial_water_waste
FL1782,TAIL1046,AL4,reset_seat;reset_galley
FL1783,TAIL1046,AL4,reset_seat;partial_galley;reset_panel
FL1784,TAIL1046,AL4,partial_seat;partial_lighting;reset_galley
FL1785,TAIL1046,AL4,reset_seat;reset_lighting;reset_galley;partial_panel;latent_resolved_panel;reset_water_waste
FL1790,TAIL1046,AL4,partial_seat;reset_lighting;partial_galley;reset_panel
FL1793,TAIL1046,AL4,partial_seat;partial_lighting;partial_panel;reset_water_waste
FL1795,TAIL1046,AL4,reset_lighting;reset_panel
FL1798,TAIL1047,AL3,reset_seat;partial_lighting;reset_panel
FL1799,TAIL1047,AL3,partial_seat;reset_lighting;partial_panel;partial_water_waste
FL1800,TAIL1047,AL3,reset_seat;reset_lighting;reset_panel
FL1801,TAIL1047,AL3,reset_seat;reset_lighting;reset_water_waste
FL1802,TAIL1047,AL3,reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1807,TAIL1047,AL3,partial_panel;partial_water_waste
FL1808,TAIL1047,AL3,partial_seat;reset_galley;reset_panel;reset_water_waste
FL1810,TAIL1047,AL3,reset_seat;partial_galley;reset_panel;partial_water_waste
FL1811,TAIL1047,AL3,reset_seat;partial_lighting;partial_galley;reset_water_waste
FL1812,TAIL1047,AL3,partial_seat;reset_lighting;partial_galley;reset_panel;partial_water_waste
FL1818,TAIL1047,AL3,partial_seat;partial_panel;reset_water_waste
FL1819,TAIL1048,AL1,partial_seat;partial_lighting;partial_galley;reset_panel;reset_water_waste;latent_resolved_water_waste
FL1820,TAIL1048,AL1,reset_lighting;partial_galley;reset_panel
FL1822,TAIL1048,AL1,reset_lighting;reset_galley;partial_water_waste
FL1828,TAIL1048,AL1,reset_seat;partial_galley;reset_panel;reset_water_waste
FL1835,TAIL1048,AL1,reset_seat;reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1837,TAIL1049,AL2,reset_seat;partial_galley;partial_panel;partial_water_waste
FL1838,TAIL1049,AL2,partial_seat;partial_lighting;reset_galley;partial_panel;reset_water_waste
FL1839,TAIL1049,AL2,partial_lighting;reset_panel;reset_water_waste
FL1854,TAIL1049,AL2,reset_seat;partial_lighting;reset_water_waste
FL1855,TAIL1049,AL2,reset_seat;reset_lighting;partial_galley;partial_panel
FL1856,TAIL1050,AL1,reset_galley;reset_panel;reset_water_waste
FL1857,TAIL1050,AL1,reset_seat;reset_lighting;partial_galley;reset_panel
FL1861,TAIL1050,AL1,partial_seat;partial_panel;reset_water_waste
FL1862,TAIL1050,AL1,partial_galley
FL1863,TAIL1050,AL1,reset_galley;partial_panel;partial_water_waste
FL1864,TAIL1050,AL1,reset_seat;reset_lighting;reset_panel;partial_water_waste
FL1871,TAIL1051,AL4,reset_seat;partial_panel;reset_water_waste
FL1872,TAIL1051,AL4,reset_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1877,TAIL1051,AL4,reset_seat;partial_lighting;partial_panel;reset_water_waste
FL1879,TAIL1051,AL4,reset_seat;latent_resolved_seat;partial_lighting;reset_galley;reset_panel;partial_water_waste
FL1896,TAIL1052,AL3,reset_lighting;reset_galley;reset_panel
FL1897,TAIL1052,AL3,partial_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1898,TAIL1052,AL3,reset_seat;reset_lighting;reset_panel;partial_water_waste
FL1903,TAIL1052,AL3,partial_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1909,TAIL1052,AL3,reset_lighting;partial_panel
FL1910,TAIL1052,AL3,partial_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1912,TAIL1052,AL3,reset_seat;reset_galley;reset_panel
FL1914,TAIL1052,AL3,reset_seat;reset_lighting;partial_panel
FL1915,TAIL1053,AL2,reset_seat;reset_lighting;partial_galley;partial_panel;partial_water_waste
FL1916,TAIL1053,AL2,partial_seat;reset_lighting;partial_galley;partial_panel;partial_water_waste
FL1917,TAIL1053,AL2,partial_lighting;reset_galley;reset_water_waste
FL1918,TAIL1053,AL2,reset_seat;reset_lighting;partial_panel;partial_water_waste
FL1919,TAIL1053,AL2,reset_seat;reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1930,TAIL1053,AL2,reset_seat;reset_lighting;partial_galley;partial_water_waste
FL1935,TAIL1053,AL2,partial_lighting;partial_water_waste
FL1936,TAIL1053,AL2,reset_lighting;reset_galley;reset_panel
FL1939,TAIL1053,AL2,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1940,TAIL1054,AL3,partial_seat;reset_lighting;reset_galley;reset_panel
FL1941,TAIL1054,AL3,reset_seat;partial_lighting;partial_galley;reset_water_waste
FL1945,TAIL1054,AL3,partial_seat;reset_galley;reset_water_waste
FL1947,TAIL1054,AL3,partial_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL1952,TAIL1054,AL3,reset_seat;partial_lighting;reset_galley;reset_panel
FL1955,TAIL1055,AL3,partial_seat;partial_lighting;reset_panel
FL1956,TAIL1055,AL3,reset_seat;reset_lighting;reset_panel
FL1957,TAIL1055,AL3,partial_seat;partial_galley;reset_panel
FL1958,TAIL1055,AL3,reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1966,TAIL1055,AL3,reset_lighting;reset_water_waste
FL1970,TAIL1055,AL3,reset_lighting;reset_galley
FL1974,TAIL1056,AL4,reset_seat;partial_lighting;partial_galley
FL1975,TAIL1056,AL4,reset_lighting;reset_panel;reset_water_waste
FL1976,TAIL1056,AL4,reset_seat;reset_lighting;partial_water_waste
FL1977,TAIL1056,AL4,reset_seat;reset_lighting;partial_galley;partial_panel;partial_water_waste
FL1978,TAIL1056,AL4,reset_seat;reset_galley;reset_panel;partial_water_waste
FL1994,TAIL1056,AL4,partial_seat;partial_lighting;partial_galley;reset_panel
FL1995,TAIL1057,AL1,reset_seat;latent_resolved_lighting;reset_panel;partial_water_waste
FL1996,TAIL1057,AL1,reset_seat;reset_lighting;reset_galley;partial_panel
FL1999,TAIL1057,AL1,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL2004,TAIL1058,AL4,reset_seat;latent_resolved_seat;reset_galley;partial_panel;reset_water_waste
FL2007,TAIL1058,AL4,reset_seat;reset_lighting;reset_panel;partial_water_waste
FL2009,TAIL1058,AL4,reset_seat;reset_galley;reset_water_waste
FL2012,TAIL1058,AL4,partial_seat;partial_lighting;reset_galley;reset_panel;reset_water_waste
FL2014,TAIL1059,AL4,reset_seat;reset_lighting;partial_water_waste
FL2015,TAIL1059,AL4,partial_seat;reset_lighting;reset_galley;partial_panel;reset_water_waste
FL2018,TAIL1059,AL4,reset_seat;partial_lighting;partial_galley;reset_panel;reset_water_waste
FL2023,TAIL1060,AL3,reset_seat;reset_lighting;reset_panel;reset_water_waste
FL2026,TAIL1060,AL3,reset_seat;partial_lighting;reset_galley;reset_panel;partial_water_waste
FL2028,TAIL1060,AL3,reset_lighting;reset_galley;partial_panel
FL2035,TAIL1060,AL3,reset_seat;reset_lighting;partial_panel;partial_water_waste
FL2038,TAIL1060,AL3,partial_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL2039,TAIL1061,AL1,reset_seat;reset_galley;partial_panel;latent_resolved_panel;reset_water_waste
FL2040,TAIL1061,AL1,partial_lighting;reset_panel;reset_water_waste
FL2041,TAIL1061,AL1,reset_lighting;reset_panel;partial_water_waste
FL2046,TAIL1061,AL1,reset_seat;reset_lighting;reset_galley;reset_panel
FL2058,TAIL1061,AL1,reset_seat;reset_lighting;reset_galley;reset_panel
FL2061,TAIL1062,AL2,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL2066,TAIL1062,AL2,reset_seat;reset_lighting;reset_galley;partial_panel
FL2071,TAIL1062,AL2,partial_seat;reset_water_waste
FL2072,TAIL1062,AL2,partial_lighting;reset_galley;reset_panel
FL2077,TAIL1063,AL1,reset_lighting;reset_panel;partial_water_waste
FL2078,TAIL1063,AL1,partial_seat;reset_galley;reset_panel;reset_water_waste
FL2084,TAIL1063,AL1,partial_seat;partial_lighting;reset_galley;reset_panel;partial_water_waste
FL2089,TAIL1063,AL1,reset_seat;reset_lighting;reset_galley;reset_panel
FL2094,TAIL1063,AL1,reset_lighting;reset_galley;reset_panel;reset_water_waste
FL2100,TAIL1064,AL3,reset_seat;partial_lighting;reset_galley;partial_panel;reset_water_waste
FL2101,TAIL1064,AL3,reset_galley;reset_panel
FL2102,TAIL1064,AL3,reset_seat;reset_panel;reset_water_waste
FL2103,TAIL1064,AL3,reset_lighting;reset_galley;reset_panel;reset_water_waste
FL2110,TAIL1064,AL3,partial_lighting;partial_galley;reset_water_waste
FL2111,TAIL1064,AL3,reset_seat;reset_galley;reset_panel;partial_water_waste
FL2113,TAIL1064,AL3,reset_lighting;reset_panel;reset_water_waste
FL2118,TAIL1064,AL3,reset_seat;reset_lighting;partial_galley
FL2119,TAIL1065,AL1,reset_seat;partial_galley;reset_panel;reset_water_waste
FL2120,TAIL1065,AL1,reset_seat;reset_lighting;partial_galley;partial_panel
FL2126,TAIL1065,AL1,reset_lighting;partial_panel;reset_water_waste
FL2131,TAIL1065,AL1,partial_galley;partial_water_waste
FL2132,TAIL1065,AL1,partial_seat;reset_galley;reset_panel;reset_water_waste
FL2137,TAIL1066,AL3,reset_seat;partial_galley;partial_panel;reset_water_waste
FL2138,TAIL1066,AL3,reset_seat;reset_galley;reset_panel;reset_water_waste
FL2139,TAIL1066,AL3,reset_seat;partial_lighting;partial_panel
FL2140,TAIL1066,AL3,reset_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL2142,TAIL1066,AL3,reset_seat;partial_lighting;reset_galley;partial_water_waste
FL2152,TAIL1066,AL3,reset_seat;partial_lighting;reset_galley;reset_panel;reset_water_waste
FL2156,TAIL1067,AL2,reset_seat;reset_galley;reset_panel;reset_water_waste
FL2157,TAIL1067,AL2,reset_seat;reset_lighting;reset_galley;latent_resolved_galley;partial_water_waste
FL2160,TAIL1067,AL2,partial_seat;reset_lighting;reset_panel;reset_water_waste
FL2162,TAIL1067,AL2,partial_seat;partial_panel;partial_water_waste
