flight_id,tail_id,client_id,aircraft,route,departure,flight_hours,passengers,weather,env_factor,hours_since_install_seat,hours_since_install_lighting,hours_since_install_galley,hours_since_install_panel,hours_since_install_water_waste,cycles_since_install_seat,cycles_since_install_lighting,cycles_since_install_galley,cycles_since_install_panel,cycles_since_install_water_waste,latent_seat,latent_lighting,latent_galley,latent_panel,latent_water_waste
FL1028,TAIL1001,AL3,A330,medium,2025-01-06T04:25:27.342502,4.61,150,clear,1.0,11.2,2.9,23.1,27.9,9.7,1,1,6,7,1,0,0,0,0,0
FL1029,TAIL1001,AL3,A330,long,2025-01-06T10:10:31.559264,5.43,198,rain,1.05,15.8,7.5,27.7,32.5,14.3,2,2,7,8,2,0,0,0,0,0
FL1030,TAIL1001,AL3,A330,medium,2025-01-06T19:27:02.063851,3.31,155,cold,1.05,21.2,13.0,33.2,38.0,19.7,3,3,8,9,3,0,0,0,0,0
FL1031,TAIL1001,AL3,A330,medium,2025-01-07T00:05:46.041296,2.52,150,clear,1.0,18.4,12.4,3.8,12.3,23.1,2,2,1,1,4,0,0,0,0,0
FL1032,TAIL1001,AL3,A330,medium,2025-01-07T05:00:21.803268,3.33,158,cold,1.05,20.9,14.9,6.4,14.8,25.6,3,3,2,2,5,0,0,0,0,0
FL1033,TAIL1001,AL3,A330,long,2025-01-07T09:50:05.541516,7.23,213,hot,1.15,24.2,18.2,9.7,18.2,28.9,4,4,3,3,6,0,0,0,0,0
FL1034,TAIL1001,AL3,A330,long,2025-01-07T19:58:18.526733,5.22,223,clear,1.0,31.4,25.4,16.9,25.4,36.1,5,5,4,4,7,0,0,0,0,0
FL1035,TAIL1002,AL1,A320,medium,2025-01-02T20:00:00,3.7,165,clear,1.0,88.2,34.7,15.1,179.9,6.9,3,26,3,29,11,0,0,0,0,0
FL1036,TAIL1002,AL1,A320,short,2025-01-03T01:58:18.553640,1.45,126,clear,1.0,13.7,5.5,18.8,183.6,12.9,1,1,4,30,1,0,0,0,0,0
FL1037,TAIL1002,AL1,A320,short,2025-01-03T08:11:47.580139,1.95,116,hot,1.15,12.2,7.0,20.3,185.1,5.5,1,2,5,31,1,0,0,0,0,0
FL1038,TAIL1002,AL1,A320,short,2025-01-03T13:59:13.255262,1.45,136,clear,1.0,11.9,6.2,3.6,4.8,4.8,1,1,1,1,1,0,0,0,0,0
FL1039,TAIL1002,AL1,A320,medium,2025-01-03T20:09:29.449106,4.4,159,clear,1.0,13.4,7.6,5.1,6.3,6.3,2,2,2,2,2,0,0,0,0,0
FL1040,TAIL1002,AL1,A320,short,2025-01-04T02:12:02.140187,1.93,123,windy,1.1,17.8,12.0,9.5,10.7,10.7,3,3,3,3,3,0,0,0,0,0
FL1041,TAIL1002,AL1,A320,short,2025-01-04T07:57:04.634839,1.47,129,cold,1.05,19.7,14.0,11.4,12.6,12.6,4,4,4,4,4,0,0,0,0,0
FL1042,TAIL1002,AL1,A320,short,2025-01-04T13:28:29.639374,0.95,152,cold,1.05,21.2,15.4,12.9,14.1,14.1,5,5,5,5,5,0,0,0,0,0
FL1043,TAIL1002,AL1,A320,short,2025-01-04T18:25:17.005229,1.37,144,clear,1.0,22.1,16.4,13.8,15.0,15.0,6,6,6,6,6,0,0,0,0,0
FL1044,TAIL1002,AL1,A320,short,2025-01-04T23:42:50.882432,1.29,119,rain,1.05,23.5,17.8,15.2,16.4,16.4,7,7,7,7,7,0,0,0,0,0
FL1045,TAIL1002,AL1,A320,long,2025-01-05T04:56:02.593124,5.83,228,rain,1.05,24.8,19.0,16.5,17.7,17.7,8,8,8,8,8,0,0,0,0,0
FL1046,TAIL1002,AL1,A320,short,2025-01-05T11:58:13.165056,1.09,117,clear,1.0,30.6,24.9,22.3,23.5,23.5,9,9,9,9,9,0,0,0,0,0
FL1047,TAIL1002,AL1,A320,short,2025-01-05T15:20:49.518017,1.59,136,rain,1.05,21.7,15.4,6.4,24.6,7.2,4,5,1,10,1,0,0,0,0,0
FL1048,TAIL1002,AL1,A320,short,2025-01-05T19:19:15.975196,1.07,153,windy,1.1,23.3,17.0,8.0,26.2,8.7,5,6,2,11,2,0,0,0,0,0
FL1049,TAIL1002,AL1,A320,medium,2025-01-06T01:11:02.621026,3.69,156,windy,1.1,24.4,18.0,9.1,27.3,9.8,6,7,3,12,3,0,0,0,0,0
FL1050,TAIL1002,AL1,A320,medium,2025-01-06T08:48:05.666795,4.61,161,rain,1.05,28.1,21.7,12.8,30.9,13.5,7,8,4,13,4,0,0,0,0,0
FL1051,TAIL1002,AL1,A320,short,2025-01-06T15:05:24.345642,1.09,136,windy,1.1,7.8,11.4,5.3,11.1,9.0,1,1,1,1,1,0,0,0,0,0
FL1052,TAIL1002,AL1,A320,medium,2025-01-06T21:06:25.924873,4.68,164,cold,1.05,8.9,12.5,6.4,12.2,10.1,2,2,2,2,2,0,0,0,0,0
FL1053,TAIL1002,AL1,A320,short,2025-01-07T04:24:31.829614,1.8,126,rain,1.05,13.6,17.2,11.0,16.9,14.8,3,3,3,3,3,0,0,0,0,0
FL1054,TAIL1002,AL1,A320,long,2025-01-07T09:08:54.795495,9.47,215,cold,1.05,15.4,19.0,12.8,18.7,16.6,4,4,4,4,4,0,0,0,0,0
FL1055,TAIL1003,AL4,B737,short,2025-01-03T11:00:00,1.89,130,cold,1.05,53.9,173.2,38.5,14.3,99.4,10,23,5,23,0,1,0,0,0,0
FL1056,TAIL1003,AL4,B737,medium,2025-01-03T14:57:35.062767,2.27,153,windy,1.1,9.3,117.2,27.0,9.1,5.7,1,15,3,12,1,1,0,0,0,0
FL1057,TAIL1003,AL4,B737,medium,2025-01-03T19:51:02.716764,3.51,150,windy,1.1,8.0,119.5,18.2,11.2,6.7,1,16,2,1,1,1,0,0,0,0
FL1058,TAIL1003,AL4,B737,short,2025-01-04T01:19:09.792937,0.95,130,hot,1.15,9.7,71.5,11.4,14.7,12.9,1,12,1,2,1,0,0,0,0,0
FL1059,TAIL1003,AL4,B737,medium,2025-01-04T07:15:39.678434,4.34,170,rain,1.05,2.5,72.4,9.0,12.5,10.7,1,13,1,2,1,0,0,0,0,0
FL1060,TAIL1003,AL4,B737,medium,2025-01-04T15:53:38.816112,3.66,169,clear,1.0,6.8,12.0,13.3,12.1,11.6,2,1,2,2,1,0,0,0,0,0
FL1061,TAIL1003,AL4,B737,short,2025-01-04T21:46:20.852318,1.59,126,windy,1.1,10.5,15.6,17.0,15.8,15.3,3,2,3,3,2,0,0,0,0,0
FL1062,TAIL1003,AL4,B737,long,2025-01-05T03:06:28.188576,9.78,211,cold,1.05,12.1,17.2,18.6,17.4,16.9,4,3,4,4,3,0,0,0,0,0
FL1063,TAIL1003,AL4,B737,short,2025-01-05T16:14:02.137762,1.91,134,windy,1.1,21.8,27.0,28.4,27.2,26.7,5,4,5,5,4,0,0,0,0,0
FL1064,TAIL1003,AL4,B737,short,2025-01-05T20:56:50.798271,1.79,140,hot,1.15,16.5,8.8,22.8,10.4,2.4,3,1,4,1,1,0,0,0,0,0
FL1065,TAIL1003,AL4,B737,medium,2025-01-06T00:24:11.386198,4.35,161,cold,1.05,18.2,10.6,24.6,12.2,4.2,4,2,5,2,2,0,0,0,0,0
FL1066,TAIL1003,AL4,B737,medium,2025-01-06T06:23:28.868218,4.07,169,cold,1.05,22.6,14.9,28.9,16.5,8.5,5,3,6,3,3,0,0,0,0,0
FL1067,TAIL1003,AL4,B737,medium,2025-01-06T14:55:52.512889,4.19,141,hot,1.15,26.7,19.0,33.0,20.6,12.6,6,4,7,4,4,0,0,0,0,0
FL1068,TAIL1003,AL4,B737,short,2025-01-06T21:58:48.371225,1.84,146,hot,1.15,23.2,23.2,10.3,9.6,16.8,5,5,1,1,5,0,0,0,0,0
FL1069,TAIL1003,AL4,B737,short,2025-01-07T03:35:25.066160,1.42,105,cold,1.05,25.0,25.0,12.2,11.4,18.6,6,6,2,2,6,0,0,0,0,0
FL1070,TAIL1003,AL4,B737,short,2025-01-07T08:43:30.878537,1.43,123,windy,1.1,26.4,26.4,13.6,12.9,20.1,7,7,3,3,7,0,0,0,0,0
FL1071,TAIL1004,AL3,A321,short,2025-01-01T18:00:00,1.64,140,clear,1.0,120.6,151.9,79.1,122.5,198.0,26,2,3,6,21,0,0,0,0,0
FL1072,TAIL1004,AL3,A321,long,2025-01-01T21:49:04.188809,5.01,229,hot,1.15,3.3,6.9,43.5,65.0,199.7,1,1,3,3,22,0,0,0,0,0
FL1073,TAIL1004,AL3,A321,short,2025-01-02T07:24:29.810007,1.25,140,cold,1.05,13.1,10.3,48.5,11.4,10.5,1,1,4,1,1,0,0,0,0,0
FL1074,TAIL1004,AL3,A321,long,2025-01-02T10:43:52.138317,7.2,208,cold,1.05,14.4,11.6,49.8,12.7,11.7,2,2,5,2,2,0,0,0,0,0
FL1075,TAIL1004,AL3,A321,long,2025-01-02T19:59:12.061884,7.04,245,clear,1.0,21.6,18.8,57.0,19.9,18.9,3,3,6,3,3,0,0,0,0,0
FL1076,TAIL1004,AL3,A321,long,2025-01-03T04:54:09.557549,7.76,215,clear,1.0,28.6,25.8,50.5,11.6,7.6,4,4,3,1,1,0,0,0,0,0
FL1077,TAIL1004,AL3,A321,medium,2025-01-03T17:07:07.283532,2.74,179,clear,1.0,17.6,10.7,9.9,8.4,13.5,1,1,1,1,1,0,0,0,0,0
FL1078,TAIL1004,AL3,A321,medium,2025-01-03T21:22:19.971547,4.96,157,hot,1.15,20.3,13.5,12.6,11.2,16.3,2,2,2,2,2,0,0,0,0,0
FL1079,TAIL1004,AL3,A321,long,2025-01-04T05:14:57.337668,7.75,236,hot,1.15,25.3,18.4,17.6,16.1,21.2,3,3,3,3,3,0,0,0,0,0
FL1080,TAIL1004,AL3,A321,short,2025-01-04T16:12:48.650391,1.49,130,rain,1.05,33.0,26.2,25.4,23.9,29.0,4,4,4,4,4,0,0,0,0,0
FL1081,TAIL1004,AL3,A321,medium,2025-01-04T22:38:52.766898,4.19,143,cold,1.05,9.6,18.0,10.3,25.4,5.4,1,2,1,5,1,0,0,0,0,0
FL1082,TAIL1004,AL3,A321,long,2025-01-05T04:38:29.662823,7.25,235,windy,1.1,13.8,22.2,14.5,29.5,9.6,2,3,2,6,2,0,0,0,0,0
FL1083,TAIL1004,AL3,A321,medium,2025-01-05T12:56:52.359518,3.5,165,hot,1.15,21.0,29.5,21.8,36.8,16.8,3,4,3,7,3,0,0,0,0,0
FL1084,TAIL1004,AL3,A321,medium,2025-01-05T19:00:51.658867,3.38,176,rain,1.05,24.5,5.9,6.0,6.4,8.6,4,1,1,1,1,0,0,0,0,0
FL1085,TAIL1005,AL1,A321,short,2025-01-01T23:00:00,1.44,157,hot,1.15,167.7,122.2,56.9,28.0,172.5,6,25,2,9,3,0,0,0,0,0
FL1086,TAIL1005,AL1,A321,short,2025-01-02T02:28:42.667152,0.92,131,hot,1.15,7.8,75.1,3.0,29.5,4.5,1,18,1,10,1,0,0,0,0,0
FL1087,TAIL1005,AL1,A321,medium,2025-01-02T05:07:52.037930,2.23,159,clear,1.0,6.8,7.5,3.5,9.5,5.4,1,1,1,1,2,0,0,0,0,0
FL1088,TAIL1005,AL1,A321,short,2025-01-02T09:15:42.037390,1.42,121,cold,1.05,9.1,9.8,5.8,11.7,7.6,2,2,2,2,3,0,0,0,0,0
FL1089,TAIL1005,AL1,A321,short,2025-01-02T15:06:13.346858,1.17,115,hot,1.15,10.5,11.2,7.2,13.1,9.1,3,3,3,3,4,0,0,0,0,0
FL1090,TAIL1005,AL1,A321,long,2025-01-02T17:23:49.737299,10.41,240,clear,1.0,11.7,12.4,8.4,14.3,10.2,4,4,4,4,5,0,0,0,0,0
FL1091,TAIL1005,AL1,A321,long,2025-01-03T05:14:47.122115,10.35,222,cold,1.05,22.1,22.8,18.8,24.7,20.6,5,5,5,5,6,0,0,0,0,0
FL1092,TAIL1005,AL1,A321,short,2025-01-03T18:15:23.307226,1.24,141,hot,1.15,10.6,15.3,13.9,13.1,11.3,1,1,1,1,1,0,0,0,0,0
FL1093,TAIL1005,AL1,A321,short,2025-01-03T21:54:06.422873,1.87,130,hot,1.15,11.8,16.5,15.1,14.4,12.5,2,2,2,2,2,0,0,0,0,0
FL1094,TAIL1005,AL1,A321,short,2025-01-04T02:18:46.094598,1.73,132,rain,1.05,13.7,18.4,17.0,16.2,14.4,3,3,3,3,3,0,0,0,0,0
FL1095,TAIL1005,AL1,A321,short,2025-01-04T06:50:44.018325,1.55,115,hot,1.15,15.4,20.2,18.7,18.0,16.2,4,4,4,4,4,0,0,0,0,0
FL1096,TAIL1005,AL1,A321,long,2025-01-04T11:31:11.604527,6.34,229,rain,1.05,17.0,21.7,20.3,19.5,17.7,5,5,5,5,5,0,0,0,0,0
FL1097,TAIL1005,AL1,A321,short,2025-01-04T20:41:19.986298,1.95,113,windy,1.1,23.3,28.0,26.6,25.9,24.0,6,6,6,6,6,0,0,0,0,0
FL1098,TAIL1005,AL1,A321,short,2025-01-05T03:01:04.862757,1.21,130,hot,1.15,6.7,6.1,28.6,7.0,2.6,1,1,7,1,1,0,0,0,0,0
FL1099,TAIL1005,AL1,A321,short,2025-01-05T06:07:07.101953,1.32,153,clear,1.0,7.9,7.3,29.8,8.2,3.8,2,2,8,2,2,0,0,0,0,0
FL1100,TAIL1005,AL1,A321,short,2025-01-05T10:33:42.030600,1.74,128,rain,1.05,9.3,8.7,31.1,9.6,5.2,3,3,9,3,3,0,0,0,0,0
FL1101,TAIL1005,AL1,A321,short,2025-01-05T15:56:07.678798,1.45,134,hot,1.15,11.0,10.4,32.9,11.3,6.9,4,4,10,4,4,0,0,0,0,0
FL1102,TAIL1005,AL1,A321,long,2025-01-05T21:03:37.001031,6.99,212,rain,1.05,12.4,11.8,34.3,12.8,8.3,5,5,11,5,5,0,0,0,0,0
FL1103,TAIL1005,AL1,A321,medium,2025-01-06T06:37:08.234858,4.55,169,rain,1.05,19.4,18.8,41.3,19.7,15.3,6,6,12,6,6,0,0,0,0,0
FL1104,TAIL1006,AL1,A321,medium,2025-01-01T21:00:00,3.86,176,cold,1.05,165.6,175.9,87.0,74.4,118.8,13,12,22,24,13,1,0,0,0,0
FL1105,TAIL1006,AL1,A321,long,2025-01-02T05:09:11.734847,6.3,213,clear,1.0,105.2,179.8,12.1,78.2,13.5,10,13,1,25,1,1,0,0,0,0
FL1106,TAIL1006,AL1,A321,medium,2025-01-02T13:00:47.494326,2.66,170,windy,1.1,111.5,15.7,8.1,84.5,14.6,11,1,1,26,1,0,0,0,0,0
FL1107,TAIL1006,AL1,A321,medium,2025-01-02T17:00:41.374895,4.59,150,windy,1.1,10.2,4.6,11.2,87.2,17.2,1,1,1,27,2,0,0,0,0,0
FL1108,TAIL1006,AL1,A321,short,2025-01-02T23:26:37.837700,1.82,142,clear,1.0,11.9,8.4,15.8,91.8,21.8,1,1,2,28,3,0,0,0,0,0
FL1109,TAIL1006,AL1,A321,short,2025-01-03T06:15:05.087302,0.94,133,clear,1.0,13.7,8.0,6.3,11.7,6.1,2,1,1,1,1,0,0,0,0,0
FL1110,TAIL1006,AL1,A321,short,2025-01-03T08:23:08.339451,1.38,136,hot,1.15,14.7,8.9,7.3,12.6,7.0,3,2,2,2,2,0,0,0,0,0
FL1111,TAIL1006,AL1,A321,short,2025-01-03T10:54:33.152428,0.95,156,hot,1.15,16.0,10.3,8.6,14.0,8.4,4,3,3,3,3,0,0,0,0,0
FL1112,TAIL1006,AL1,A321,short,2025-01-03T15:51:25.301857,1.59,127,clear,1.0,17.0,11.3,9.6,15.0,9.4,5,4,4,4,4,0,0,0,0,0
FL1113,TAIL1006,AL1,A321,short,2025-01-03T21:58:18.329343,1.97,147,windy,1.1,18.6,12.9,11.2,16.6,11.0,6,5,5,5,5,0,0,0,0,0
FL1114,TAIL1006,AL1,A321,short,2025-01-04T04:17:06.655161,1.15,125,windy,1.1,20.6,14.8,13.1,18.5,12.9,7,6,6,6,6,0,0,0,0,0
FL1115,TAIL1006,AL1,A321,short,2025-01-04T07:46:37.956935,1.55,126,hot,1.15,21.7,16.0,14.3,19.7,14.1,8,7,7,7,7,0,0,0,0,0
FL1116,TAIL1006,AL1,A321,long,2025-01-04T14:02:42.608881,9.95,206,clear,1.0,23.3,17.5,15.8,21.2,15.6,9,8,8,8,8,0,0,0,0,0
FL1117,TAIL1006,AL1,A321,medium,2025-01-05T03:26:30.389565,4.32,162,cold,1.05,33.2,27.5,25.8,31.2,25.6,10,9,9,9,9,0,0,0,0,0
FL1118,TAIL1006,AL1,A321,short,2025-01-05T12:45:03.588720,1.02,158,cold,1.05,30.3,23.8,30.1,14.0,11.4,5,5,10,1,1,0,0,0,0,0
FL1119,TAIL1007,AL4,A320,short,2025-01-03T15:00:00,1.58,122,windy,1.1,92.1,51.8,152.4,196.5,11.5,18,6,24,15,5,0,0,0,0,0
FL1120,TAIL1007,AL4,A320,short,2025-01-03T21:01:10.824537,1.76,136,clear,1.0,2.5,9.6,6.8,133.5,13.1,1,1,1,7,6,0,0,0,0,0
FL1121,TAIL1007,AL4,A320,short,2025-01-04T03:02:17.373546,1.51,150,cold,1.05,7.2,6.0,8.3,75.7,5.6,1,1,1,6,1,0,0,0,0,0
FL1122,TAIL1007,AL4,A320,short,2025-01-04T08:26:41.064055,1.99,117,rain,1.05,8.7,3.1,9.8,9.5,6.9,2,1,2,1,1,0,0,0,0,0
FL1123,TAIL1007,AL4,A320,short,2025-01-04T11:50:23.613577,1.91,134,hot,1.15,10.7,5.0,11.8,11.5,8.9,3,2,3,2,2,0,0,0,0,0
FL1124,TAIL1007,AL4,A320,medium,2025-01-04T14:58:01.722203,3.43,163,cold,1.05,12.6,6.9,13.7,13.4,10.8,4,3,4,3,3,0,0,0,0,0
FL1125,TAIL1007,AL4,A320,short,2025-01-04T20:08:31.435620,1.97,128,hot,1.15,16.1,10.4,17.1,16.8,14.2,5,4,5,4,4,0,0,0,0,0
FL1126,TAIL1007,AL4,A320,medium,2025-01-04T23:34:51.743340,4.06,157,rain,1.05,18.0,12.3,19.1,18.8,16.2,6,5,6,5,5,0,0,0,0,0
FL1127,TAIL1007,AL4,A320,medium,2025-01-05T06:27:54.826535,2.68,153,hot,1.15,22.1,16.4,23.2,22.8,20.2,7,6,7,6,6,0,0,0,0,0
FL1128,TAIL1008,AL3,A330,medium,2025-01-01T10:00:00,2.43,162,hot,1.15,54.5,51.7,157.6,101.9,32.4,27,11,21,28,18,0,0,0,0,0
FL1129,TAIL1008,AL3,A330,short,2025-01-01T16:52:31.956944,1.24,124,clear,1.0,6.3,9.2,160.0,104.4,20.4,1,1,22,29,11,0,0,0,0,0
FL1130,TAIL1008,AL3,A330,short,2025-01-01T20:11:44.651786,1.73,114,cold,1.05,2.7,10.5,6.4,82.3,8.3,1,2,1,23,1,0,0,0,0,0
FL1131,TAIL1008,AL3,A330,long,2025-01-02T00:25:24.396043,6.9,226,hot,1.15,10.6,11.4,8.1,7.5,10.1,1,1,2,1,2,0,0,0,0,0
FL1132,TAIL1008,AL3,A330,medium,2025-01-02T08:58:53.718514,2.72,149,clear,1.0,17.5,18.3,15.0,14.4,17.0,2,2,3,2,3,0,0,0,0,0
FL1133,TAIL1008,AL3,A330,short,2025-01-02T15:49:28.940512,0.92,124,rain,1.05,20.2,21.1,17.7,17.1,19.7,3,3,4,3,4,0,0,0,0,0
FL1134,TAIL1008,AL3,A330,long,2025-01-02T20:10:49.668623,10.07,220,windy,1.1,21.1,22.0,18.7,18.1,20.6,4,4,5,4,5,0,0,0,0,0
FL1135,TAIL1008,AL3,A330,medium,2025-01-03T09:43:45.296956,3.5,144,cold,1.05,22.2,13.9,21.8,20.9,30.7,3,1,4,4,6,0,0,0,0,0
FL1136,TAIL1008,AL3,A330,long,2025-01-03T15:47:38.589595,8.17,201,rain,1.05,3.6,10.9,16.4,18.9,10.6,1,1,2,2,1,0,0,0,0,0
FL1137,TAIL1008,AL3,A330,medium,2025-01-04T04:53:07.670109,2.18,186,windy,1.1,11.7,19.0,24.5,27.0,18.8,2,2,3,3,2,0,0,0,0,0
FL1138,TAIL1008,AL3,A330,medium,2025-01-04T11:16:20.389987,4.23,162,cold,1.05,13.9,21.2,26.7,21.2,9.6,3,3,4,3,1,0,0,0,0,0
FL1139,TAIL1008,AL3,A330,medium,2025-01-04T20:18:07.523166,2.18,134,rain,1.05,11.6,19.3,31.0,13.6,9.4,3,3,5,1,1,0,0,0,0,0
FL1140,TAIL1008,AL3,A330,medium,2025-01-05T02:30:50.475625,4.53,155,hot,1.15,13.8,21.5,33.1,15.8,11.6,4,4,6,2,2,0,0,0,0,0
FL1141,TAIL1008,AL3,A330,short,2025-01-05T10:51:34.091165,1.42,130,hot,1.15,18.4,26.0,37.7,20.3,16.1,5,5,7,3,3,0,0,0,0,0
FL1142,TAIL1008,AL3,A330,long,2025-01-05T14:06:08.130388,6.81,215,cold,1.05,4.8,10.8,6.2,17.5,11.6,1,1,1,3,2,0,0,0,0,0
FL1143,TAIL1008,AL3,A330,medium,2025-01-05T22:27:01.291501,2.16,158,hot,1.15,11.6,17.6,13.0,24.3,18.4,2,2,2,4,3,0,0,0,0,0
FL1144,TAIL1009,AL3,A321,short,2025-01-01T13:00:00,1.09,131,clear,1.0,27.7,49.7,95.7,118.2,96.5,3,27,12,27,1,0,0,0,0,0
FL1145,TAIL1009,AL3,A321,medium,2025-01-01T16:36:09.569945,2.12,149,clear,1.0,22.3,7.0,10.5,5.1,9.8,2,1,1,1,1,0,0,0,0,0
FL1146,TAIL1009,AL3,A321,long,2025-01-01T22:22:45.433425,5.79,221,rain,1.05,24.4,9.1,12.7,7.3,11.9,3,2,2,2,2,0,0,0,0,0
FL1147,TAIL1009,AL3,A321,short,2025-01-02T05:30:59.561565,1.33,148,rain,1.05,30.2,14.9,18.4,13.0,17.7,4,3,3,3,3,0,0,0,0,0
FL1148,TAIL1009,AL3,A321,long,2025-01-02T11:17:52.619202,9.17,239,hot,1.15,7.6,6.5,19.8,7.6,8.6,1,1,4,1,1,0,0,0,0,0
FL1149,TAIL1009,AL3,A321,medium,2025-01-02T22:59:06.988072,3.69,180,rain,1.05,16.8,15.6,28.9,16.8,17.8,2,2,5,2,2,0,0,0,0,0
FL1150,TAIL1009,AL3,A321,long,2025-01-03T06:47:28.971871,6.43,197,hot,1.15,13.3,19.3,6.0,11.1,10.2,2,3,1,1,1,0,0,0,0,0
