flight_id,tail_id,client_id,maintenance_needed,hazard_score,pred_time_to_failure_hours
FL1249,TAIL1015,AL2,0,0.607,58.3
FL1250,TAIL1015,AL2,0,0.69,70.1
FL1251,TAIL1015,AL2,0,0.812,61.8
FL1252,TAIL1015,AL2,0,0.561,81.7
FL1253,TAIL1015,AL2,0,0.712,60.7
FL1254,TAIL1015,AL2,0,0.703,67.4
FL1255,TAIL1015,AL2,0,0.798,65.0
FL1256,TAIL1015,AL2,0,0.814,67.4
FL1257,TAIL1015,AL2,0,0.61,63.1
FL1258,TAIL1015,AL2,0,0.641,62.5
FL1259,TAIL1015,AL2,0,0.764,64.8
FL1260,TAIL1015,AL2,0,0.456,72.8
FL1261,TAIL1016,AL2,1,1.8,39.0
FL1262,TAIL1016,AL2,1,1.8,34.2
FL1263,TAIL1016,AL2,0,0.772,71.4
FL1264,TAIL1016,AL2,0,0.861,70.2
FL1265,TAIL1016,AL2,0,0.659,60.8
FL1266,TAIL1016,AL2,1,0.978,63.5
FL1267,TAIL1016,AL2,0,0.729,68.4
FL1268,TAIL1016,AL2,0,0.774,75.8
FL1269,TAIL1016,AL2,0,0.846,59.0
FL1270,TAIL1016,AL2,0,0.855,63.9
FL1271,TAIL1016,AL2,0,0.614,90.4
FL1272,TAIL1016,AL2,0,0.613,52.8
FL1273,TAIL1016,AL2,0,0.723,51.1
FL1274,TAIL1016,AL2,0,0.811,74.1
FL1275,TAIL1017,AL1,1,1.8,32.5
FL1276,TAIL1017,AL1,1,1.8,57.7
FL1277,TAIL1017,AL1,1,0.881,72.3
FL1278,TAIL1017,AL1,0,0.807,80.6
FL1279,TAIL1017,AL1,0,0.714,64.3
FL1280,TAIL1017,AL1,0,0.797,60.3
FL1281,TAIL1017,AL1,0,0.416,74.3
FL1282,TAIL1017,AL1,0,0.532,68.0
FL1283,TAIL1017,AL1,0,0.611,76.8
FL1284,TAIL1017,AL1,0,0.674,72.9
FL1285,TAIL1017,AL1,0,0.792,71.4
FL1286,TAIL1017,AL1,0,0.41,99.0
FL1287,TAIL1017,AL1,0,0.414,72.9
FL1288,TAIL1017,AL1,0,0.491,88.4
FL1289,TAIL1017,AL1,0,0.767,56.5
FL1290,TAIL1017,AL1,0,0.783,53.4
FL1291,TAIL1017,AL1,0,0.856,57.5
FL1292,TAIL1017,AL1,0,0.849,83.9
FL1293,TAIL1017,AL1,0,0.538,60.4
FL1294,TAIL1017,AL1,0,0.568,66.3
FL1295,TAIL1017,AL1,0,0.822,37.0
FL1296,TAIL1017,AL1,0,0.791,78.8
FL1297,TAIL1018,AL4,1,1.8,48.0
FL1298,TAIL1018,AL4,0,0.569,78.1
FL1299,TAIL1018,AL4,0,0.559,79.7
FL1300,TAIL1018,AL4,0,0.621,44.4
FL1301,TAIL1018,AL4,0,0.727,50.9
FL1302,TAIL1018,AL4,0,0.776,67.4
FL1303,TAIL1018,AL4,0,0.794,67.2
FL1304,TAIL1018,AL4,0,0.572,64.7
FL1305,TAIL1018,AL4,0,0.859,58.2
FL1306,TAIL1018,AL4,0,0.534,94.2
FL1307,TAIL1018,AL4,0,0.622,54.6
FL1308,TAIL1018,AL4,0,0.74,59.2
FL1309,TAIL1018,AL4,0,0.812,69.7
FL1310,TAIL1018,AL4,0,0.71,61.6
FL1311,TAIL1018,AL4,0,0.827,52.5
FL1312,TAIL1019,AL1,1,1.8,29.3
FL1313,TAIL1019,AL1,1,1.8,31.9
FL1314,TAIL1019,AL1,0,0.728,74.3
FL1315,TAIL1019,AL1,0,0.679,72.8
FL1316,TAIL1019,AL1,1,0.908,59.1
FL1317,TAIL1019,AL1,0,0.502,82.6
FL1318,TAIL1019,AL1,0,0.545,71.1
FL1319,TAIL1019,AL1,0,0.522,77.4
FL1320,TAIL1019,AL1,0,0.841,62.6
FL1321,TAIL1019,AL1,0,0.416,101.7
FL1322,TAIL1019,AL1,0,0.5,70.0
FL1323,TAIL1019,AL1,0,0.447,69.8
FL1324,TAIL1019,AL1,0,0.59,50.8
FL1325,TAIL1019,AL1,0,0.555,88.2
FL1326,TAIL1019,AL1,0,0.643,87.1
FL1327,TAIL1019,AL1,0,0.807,79.1
FL1328,TAIL1019,AL1,0,0.856,61.4
FL1329,TAIL1019,AL1,0,0.729,36.9
FL1330,TAIL1019,AL1,1,0.985,40.6
FL1331,TAIL1019,AL1,0,0.72,60.4
FL1332,TAIL1020,AL4,1,1.8,29.9
FL1333,TAIL1020,AL4,1,1.8,38.7
FL1334,TAIL1020,AL4,1,1.8,6.2
FL1335,TAIL1020,AL4,0,0.644,53.5
FL1336,TAIL1020,AL4,0,0.802,58.8
FL1337,TAIL1020,AL4,1,0.941,41.6
FL1338,TAIL1020,AL4,1,0.907,72.5
FL1339,TAIL1020,AL4,0,0.76,72.3
FL1340,TAIL1020,AL4,0,0.798,61.5
FL1341,TAIL1020,AL4,0,0.506,72.4
FL1342,TAIL1020,AL4,0,0.492,86.2
FL1343,TAIL1020,AL4,0,0.591,80.5
FL1344,TAIL1020,AL4,0,0.584,70.8
FL1345,TAIL1020,AL4,0,0.693,79.0
FL1346,TAIL1020,AL4,0,0.73,66.6
FL1347,TAIL1020,AL4,0,0.822,59.9
FL1348,TAIL1020,AL4,0,0.813,62.7
FL1349,TAIL1020,AL4,0,0.481,69.9
FL1350,TAIL1020,AL4,0,0.531,66.2
FL1351,TAIL1020,AL4,0,0.621,61.5
FL1352,TAIL1021,AL1,1,1.8,31.7
FL1353,TAIL1021,AL1,1,1.526,26.5
FL1354,TAIL1021,AL1,0,0.653,68.0
FL1355,TAIL1021,AL1,0,0.794,72.9
FL1356,TAIL1021,AL1,0,0.817,78.1
FL1357,TAIL1021,AL1,0,0.489,58.1
FL1358,TAIL1021,AL1,0,0.599,67.9
FL1359,TAIL1021,AL1,0,0.663,71.8
FL1360,TAIL1021,AL1,0,0.781,63.4
FL1361,TAIL1021,AL1,0,0.571,75.8
FL1362,TAIL1021,AL1,0,0.576,74.1
FL1363,TAIL1021,AL1,0,0.659,70.1
FL1364,TAIL1021,AL1,0,0.819,30.0
FL1365,TAIL1021,AL1,0,0.816,76.5
FL1366,TAIL1021,AL1,1,0.96,66.2
FL1367,TAIL1021,AL1,0,0.474,82.6
FL1368,TAIL1021,AL1,0,0.581,90.6
FL1369,TAIL1021,AL1,0,0.705,63.9
FL1370,TAIL1021,AL1,0,0.656,55.4
FL1371,TAIL1021,AL1,0,0.733,53.1
FL1372,TAIL1021,AL1,0,0.763,60.6
FL1373,TAIL1021,AL1,1,0.884,48.8
FL1374,TAIL1021,AL1,0,0.393,89.1
FL1375,TAIL1022,AL1,1,1.8,28.4
FL1376,TAIL1022,AL1,1,1.8,50.9
FL1377,TAIL1022,AL1,1,1.8,36.4
FL1378,TAIL1022,AL1,1,1.163,24.6
FL1379,TAIL1022,AL1,1,1.059,48.4
FL1380,TAIL1022,AL1,1,1.111,50.8
FL1381,TAIL1022,AL1,1,0.908,50.5
FL1382,TAIL1022,AL1,0,0.3,104.1
FL1383,TAIL1022,AL1,0,0.399,95.5
FL1384,TAIL1022,AL1,0,0.415,98.2
FL1385,TAIL1022,AL1,0,0.428,86.2
FL1386,TAIL1022,AL1,0,0.499,77.4
FL1387,TAIL1022,AL1,0,0.636,77.8
FL1388,TAIL1022,AL1,0,0.729,66.2
FL1389,TAIL1022,AL1,0,0.852,81.9
FL1390,TAIL1022,AL1,0,0.431,82.1
FL1391,TAIL1022,AL1,0,0.489,86.0
FL1392,TAIL1023,AL3,1,1.8,49.9
FL1393,TAIL1023,AL3,1,1.714,28.3
FL1394,TAIL1023,AL3,0,0.729,44.9
FL1395,TAIL1023,AL3,0,0.764,57.2
FL1396,TAIL1023,AL3,1,0.881,42.6
FL1397,TAIL1023,AL3,0,0.717,77.0
FL1398,TAIL1023,AL3,0,0.754,77.0
FL1399,TAIL1023,AL3,0,0.843,50.2
FL1400,TAIL1023,AL3,0,0.701,78.9
FL1401,TAIL1023,AL3,1,0.903,49.3
FL1402,TAIL1023,AL3,0,0.755,57.1
FL1403,TAIL1023,AL3,0,0.797,82.1
FL1404,TAIL1023,AL3,1,0.864,65.2
FL1405,TAIL1023,AL3,0,0.695,54.4
FL1406,TAIL1023,AL3,1,0.903,15.7
FL1407,TAIL1024,AL4,1,1.8,23.3
FL1408,TAIL1024,AL4,1,1.319,60.9
FL1409,TAIL1024,AL4,1,0.917,49.3
FL1410,TAIL1024,AL4,0,0.529,66.2
FL1411,TAIL1024,AL4,0,0.791,49.2
FL1412,TAIL1024,AL4,1,0.905,49.1
FL1413,TAIL1024,AL4,0,0.632,60.6
FL1414,TAIL1024,AL4,0,0.767,56.4
FL1415,TAIL1024,AL4,1,0.893,38.1
FL1416,TAIL1024,AL4,0,0.528,71.7
FL1417,TAIL1024,AL4,0,0.828,42.9
FL1418,TAIL1024,AL4,0,0.624,96.4
FL1419,TAIL1024,AL4,0,0.827,65.6
FL1420,TAIL1024,AL4,0,0.843,46.6
FL1421,TAIL1024,AL4,1,1.038,57.7
FL1422,TAIL1025,AL1,1,1.8,23.1
FL1423,TAIL1025,AL1,1,1.084,37.3
FL1424,TAIL1025,AL1,1,1.146,31.8
FL1425,TAIL1025,AL1,1,1.071,37.0
FL1426,TAIL1025,AL1,0,0.484,56.4
FL1427,TAIL1025,AL1,0,0.497,86.9
FL1428,TAIL1025,AL1,0,0.493,88.3
FL1429,TAIL1025,AL1,0,0.627,61.3
FL1430,TAIL1025,AL1,0,0.568,69.9
FL1431,TAIL1025,AL1,1,0.882,55.3
FL1432,TAIL1025,AL1,0,0.659,66.9
FL1433,TAIL1025,AL1,0,0.748,68.2
FL1434,TAIL1025,AL1,0,0.801,61.0
FL1435,TAIL1025,AL1,1,0.886,60.4
FL1436,TAIL1025,AL1,0,0.578,80.3
FL1437,TAIL1025,AL1,0,0.627,62.3
FL1438,TAIL1026,AL1,1,1.8,44.5
FL1439,TAIL1026,AL1,1,1.396,61.5
FL1440,TAIL1026,AL1,0,0.467,82.5
FL1441,TAIL1026,AL1,0,0.564,76.1
FL1442,TAIL1026,AL1,0,0.653,91.4
FL1443,TAIL1026,AL1,0,0.836,58.4
FL1444,TAIL1026,AL1,0,0.499,92.4
FL1445,TAIL1026,AL1,0,0.524,85.3
FL1446,TAIL1026,AL1,0,0.602,66.2
FL1447,TAIL1026,AL1,0,0.601,99.7
FL1448,TAIL1026,AL1,0,0.606,84.5
FL1449,TAIL1026,AL1,0,0.63,64.3
FL1450,TAIL1026,AL1,0,0.784,60.4
FL1451,TAIL1026,AL1,0,0.762,63.4
FL1452,TAIL1026,AL1,0,0.83,71.2
FL1453,TAIL1027,AL1,1,1.8,40.8
FL1454,TAIL1027,AL1,1,1.751,36.1
FL1455,TAIL1027,AL1,0,0.792,90.6
FL1456,TAIL1027,AL1,0,0.451,86.0
FL1457,TAIL1027,AL1,0,0.476,87.0
FL1458,TAIL1027,AL1,0,0.594,77.9
FL1459,TAIL1027,AL1,0,0.805,71.9
FL1460,TAIL1027,AL1,0,0.781,62.4
FL1461,TAIL1027,AL1,1,0.894,68.1
FL1462,TAIL1027,AL1,0,0.827,59.6
FL1463,TAIL1027,AL1,0,0.851,57.0
FL1464,TAIL1027,AL1,0,0.626,62.5
FL1465,TAIL1027,AL1,0,0.643,64.1
FL1466,TAIL1027,AL1,0,0.663,54.9
FL1467,TAIL1027,AL1,0,0.812,47.5
FL1468,TAIL1027,AL1,0,0.711,50.3
FL1469,TAIL1027,AL1,0,0.851,33.5
FL1470,TAIL1028,AL2,1,1.8,36.0
FL1471,TAIL1028,AL2,1,1.8,50.2
FL1472,TAIL1028,AL2,1,1.8,36.0
FL1473,TAIL1028,AL2,1,1.136,45.5
FL1474,TAIL1028,AL2,0,0.416,109.1
FL1475,TAIL1028,AL2,0,0.591,63.2
FL1476,TAIL1028,AL2,0,0.78,64.1
FL1477,TAIL1028,AL2,0,0.666,63.9
FL1478,TAIL1028,AL2,0,0.613,82.8
FL1479,TAIL1028,AL2,0,0.708,85.5
FL1480,TAIL1028,AL2,1,0.978,36.2
FL1481,TAIL1028,AL2,0,0.55,83.1
FL1482,TAIL1028,AL2,0,0.576,82.3
FL1483,TAIL1028,AL2,0,0.62,72.4
FL1484,TAIL1028,AL2,0,0.801,78.3
FL1485,TAIL1028,AL2,1,1.033,44.2
FL1486,TAIL1028,AL2,0,0.482,89.0
FL1487,TAIL1028,AL2,0,0.627,52.0
FL1488,TAIL1028,AL2,0,0.758,56.4
FL1489,TAIL1029,AL2,1,1.8,21.9
FL1490,TAIL1029,AL2,1,1.8,53.7
FL1491,TAIL1029,AL2,0,0.445,89.6
FL1492,TAIL1029,AL2,0,0.46,67.0
FL1493,TAIL1029,AL2,0,0.494,90.8
FL1494,TAIL1029,AL2,0,0.635,53.6
FL1495,TAIL1029,AL2,0,0.68,69.5
FL1496,TAIL1029,AL2,0,0.761,55.4
FL1497,TAIL1029,AL2,0,0.789,59.1
FL1498,TAIL1029,AL2,1,0.897,61.0
FL1499,TAIL1029,AL2,0,0.66,89.3
FL1500,TAIL1029,AL2,0,0.712,91.0
FL1501,TAIL1029,AL2,0,0.842,57.0
FL1502,TAIL1029,AL2,0,0.68,62.1
FL1503,TAIL1029,AL2,0,0.816,77.5
FL1504,TAIL1029,AL2,0,0.405,76.3
FL1505,TAIL1029,AL2,0,0.55,82.0
FL1506,TAIL1030,AL1,1,1.73,39.2
FL1507,TAIL1030,AL1,0,0.639,62.9
FL1508,TAIL1030,AL1,0,0.697,57.0
FL1509,TAIL1030,AL1,0,0.8,75.1
FL1510,TAIL1030,AL1,1,0.873,57.8
FL1511,TAIL1030,AL1,1,0.865,77.3
FL1512,TAIL1030,AL1,0,0.513,49.5
FL1513,TAIL1030,AL1,0,0.603,48.6
FL1514,TAIL1030,AL1,0,0.629,70.7
FL1515,TAIL1030,AL1,0,0.696,58.2
FL1516,TAIL1030,AL1,0,0.794,51.8
FL1517,TAIL1030,AL1,0,0.478,74.4
FL1518,TAIL1030,AL1,0,0.624,54.2
FL1519,TAIL1030,AL1,0,0.682,79.2
FL1520,TAIL1031,AL3,1,1.8,51.0
FL1521,TAIL1031,AL3,1,0.936,62.6
FL1522,TAIL1031,AL3,0,0.559,94.2
FL1523,TAIL1031,AL3,0,0.628,67.6
FL1524,TAIL1031,AL3,0,0.75,75.9
FL1525,TAIL1031,AL3,1,0.904,60.4
FL1526,TAIL1031,AL3,0,0.715,73.6
FL1527,TAIL1031,AL3,0,0.747,71.4
FL1528,TAIL1031,AL3,1,0.955,49.3
FL1529,TAIL1031,AL3,0,0.714,88.2
FL1530,TAIL1031,AL3,0,0.773,72.1
FL1531,TAIL1031,AL3,1,0.923,48.5
FL1532,TAIL1031,AL3,0,0.821,53.0
FL1533,TAIL1031,AL3,1,0.948,59.5
FL1534,TAIL1031,AL3,0,0.601,78.8
