flight_id,tail_id,client_id,split,departure
FL1106,TAIL1006,AL1,train,2025-01-02T13:00:47.494326
FL1107,TAIL1006,AL1,train,2025-01-02T17:00:41.374895
FL1108,TAIL1006,AL1,train,2025-01-02T23:26:37.837700
FL1109,TAIL1006,AL1,train,2025-01-03T06:15:05.087302
FL1110,TAIL1006,AL1,train,2025-01-03T08:23:08.339451
FL1111,TAIL1006,AL1,train,2025-01-03T10:54:33.152428
FL1112,TAIL1006,AL1,train,2025-01-03T15:51:25.301857
FL1113,TAIL1006,AL1,train,2025-01-03T21:58:18.329343
FL1114,TAIL1006,AL1,val,2025-01-04T04:17:06.655161
FL1115,TAIL1006,AL1,val,2025-01-04T07:46:37.956935
FL1116,TAIL1006,AL1,test,2025-01-04T14:02:42.608881
FL1117,TAIL1006,AL1,test,2025-01-05T03:26:30.389565
FL1118,TAIL1006,AL1,test,2025-01-05T12:45:03.588720
FL1119,TAIL1007,AL4,train,2025-01-03T15:00:00
FL1120,TAIL1007,AL4,train,2025-01-03T21:01:10.824537
FL1121,TAIL1007,AL4,train,2025-01-04T03:02:17.373546
FL1122,TAIL1007,AL4,train,2025-01-04T08:26:41.064055
FL1123,TAIL1007,AL4,train,2025-01-04T11:50:23.613577
FL1124,TAIL1007,AL4,train,2025-01-04T14:58:01.722203
FL1125,TAIL1007,AL4,val,2025-01-04T20:08:31.435620
FL1126,TAIL1007,AL4,test,2025-01-04T23:34:51.743340
FL1127,TAIL1007,AL4,test,2025-01-05T06:27:54.826535
FL1128,TAIL1008,AL3,train,2025-01-01T10:00:00
FL1129,TAIL1008,AL3,train,2025-01-01T16:52:31.956944
FL1130,TAIL1008,AL3,train,2025-01-01T20:11:44.651786
FL1131,TAIL1008,AL3,train,2025-01-02T00:25:24.396043
FL1132,TAIL1008,AL3,train,2025-01-02T08:58:53.718514
FL1133,TAIL1008,AL3,train,2025-01-02T15:49:28.940512
FL1134,TAIL1008,AL3,train,2025-01-02T20:10:49.668623
FL1135,TAIL1008,AL3,train,2025-01-03T09:43:45.296956
FL1136,TAIL1008,AL3,train,2025-01-03T15:47:38.589595
FL1137,TAIL1008,AL3,train,2025-01-04T04:53:07.670109
FL1138,TAIL1008,AL3,train,2025-01-04T11:16:20.389987
FL1139,TAIL1008,AL3,val,2025-01-04T20:18:07.523166
FL1140,TAIL1008,AL3,val,2025-01-05T02:30:50.475625
FL1141,TAIL1008,AL3,test,2025-01-05T10:51:34.091165
FL1142,TAIL1008,AL3,test,2025-01-05T14:06:08.130388
FL1143,TAIL1008,AL3,test,2025-01-05T22:27:01.291501
FL1144,TAIL1009,AL3,train,2025-01-01T13:00:00
FL1145,TAIL1009,AL3,train,2025-01-01T16:36:09.569945
FL1146,TAIL1009,AL3,train,2025-01-01T22:22:45.433425
FL1147,TAIL1009,AL3,train,2025-01-02T05:30:59.561565
FL1148,TAIL1009,AL3,train,2025-01-02T11:17:52.619202
FL1149,TAIL1009,AL3,train,2025-01-02T22:59:06.988072
FL1150,TAIL1009,AL3,train,2025-01-03T06:47:28.971871
FL1151,TAIL1009,AL3,train,2025-01-03T15:28:27.695835
FL1152,TAIL1009,AL3,train,2025-01-03T20:25:29.315004
FL1153,TAIL1009,AL3,train,2025-01-04T10:03:27.178466
FL1154,TAIL1009,AL3,train,2025-01-04T14:37:02.938362
FL1155,TAIL1009,AL3,val,2025-01-04T21:16:34.143128
FL1156,TAIL1009,AL3,val,2025-01-05T01:00:07.205107
FL1157,TAIL1009,AL3,test,2025-01-05T11:18:38.526406
FL1158,TAIL1009,AL3,test,2025-01-05T17:09:30.768085
FL1159,TAIL1009,AL3,test,2025-01-05T21:37:06.273528
FL1160,TAIL1010,AL1,train,2025-01-02T20:00:00
FL1161,TAIL1010,AL1,train,2025-01-03T00:24:55.560022
FL1162,TAIL1010,AL1,train,2025-01-03T06:27:19.800904
FL1163,TAIL1010,AL1,train,2025-01-03T09:53:14.249596
FL1164,TAIL1010,AL1,train,2025-01-03T14:52:55.724107
FL1165,TAIL1010,AL1,train,2025-01-03T19:09:47.018130
FL1166,TAIL1010,AL1,train,2025-01-04T01:56:37.206362
FL1167,TAIL1010,AL1,train,2025-01-04T05:54:19.752632
FL1168,TAIL1010,AL1,train,2025-01-04T11:50:34.641093
FL1169,TAIL1010,AL1,train,2025-01-04T14:43:31.148459
FL1170,TAIL1010,AL1,train,2025-01-04T19:31:10.720158
FL1171,TAIL1010,AL1,val,2025-01-05T00:15:20.908988
FL1172,TAIL1010,AL1,val,2025-01-05T04:35:42.550241
FL1173,TAIL1010,AL1,test,2025-01-05T09:46:17.462209
FL1174,TAIL1010,AL1,test,2025-01-05T22:11:07.967735
FL1175,TAIL1010,AL1,test,2025-01-06T08:08:31.605592
FL1176,TAIL1010,AL1,test,2025-01-06T19:15:55.056300
FL1177,TAIL1011,AL2,train,2025-01-02T05:00:00
FL1178,TAIL1011,AL2,train,2025-01-02T14:33:52.249877
FL1179,TAIL1011,AL2,train,2025-01-02T20:06:49.260792
FL1180,TAIL1011,AL2,train,2025-01-03T04:28:49.087277
FL1181,TAIL1011,AL2,train,2025-01-03T14:07:52.526907
FL1182,TAIL1011,AL2,train,2025-01-03T18:28:04.905885
FL1183,TAIL1011,AL2,train,2025-01-04T05:36:51.885474
FL1184,TAIL1011,AL2,train,2025-01-04T12:24:06.594467
FL1185,TAIL1011,AL2,train,2025-01-04T18:16:47.085909
FL1186,TAIL1011,AL2,val,2025-01-05T00:09:04.514814
FL1187,TAIL1011,AL2,val,2025-01-05T02:54:54.932043
FL1188,TAIL1011,AL2,test,2025-01-05T15:50:52.487456
FL1189,TAIL1011,AL2,test,2025-01-06T02:15:12.311093
FL1190,TAIL1011,AL2,test,2025-01-06T06:56:26.403658
FL1191,TAIL1012,AL2,train,2025-01-01T15:00:00
FL1192,TAIL1012,AL2,train,2025-01-02T02:08:16.867346
FL1193,TAIL1012,AL2,train,2025-01-02T05:07:33.032778
FL1194,TAIL1012,AL2,train,2025-01-02T12:09:32.033243
FL1195,TAIL1012,AL2,train,2025-01-02T18:39:08.186429
FL1196,TAIL1012,AL2,train,2025-01-02T23:44:15.395383
FL1197,TAIL1012,AL2,train,2025-01-03T07:55:27.424090
FL1198,TAIL1012,AL2,train,2025-01-03T16:11:48.514890
FL1199,TAIL1012,AL2,train,2025-01-03T23:03:04.917553
FL1200,TAIL1012,AL2,train,2025-01-04T08:03:50.527076
FL1201,TAIL1012,AL2,train,2025-01-04T17:00:30.022969
FL1202,TAIL1012,AL2,train,2025-01-05T01:48:48.749567
FL1203,TAIL1012,AL2,train,2025-01-05T07:36:19.042801
FL1204,TAIL1012,AL2,val,2025-01-05T10:18:02.309115
FL1205,TAIL1012,AL2,val,2025-01-05T14:00:18.949725
FL1206,TAIL1012,AL2,test,2025-01-05T20:17:00.801679
FL1207,TAIL1012,AL2,test,2025-01-06T10:00:12.525258
FL1208,TAIL1012,AL2,test,2025-01-06T16:45:30.653153
FL1209,TAIL1012,AL2,test,2025-01-06T21:49:10.601835
FL1210,TAIL1013,AL3,train,2025-01-02T11:00:00
FL1211,TAIL1013,AL3,train,2025-01-02T16:32:47.939120
FL1212,TAIL1013,AL3,train,2025-01-03T03:25:08.394182
FL1213,TAIL1013,AL3,train,2025-01-03T07:30:37.909094
FL1214,TAIL1013,AL3,train,2025-01-03T18:50:21.274507
FL1215,TAIL1013,AL3,train,2025-01-04T04:23:53.256264
FL1216,TAIL1013,AL3,train,2025-01-04T11:34:34.146540
FL1217,TAIL1013,AL3,train,2025-01-04T21:48:06.307395
FL1218,TAIL1013,AL3,train,2025-01-05T10:48:08.462297
FL1219,TAIL1013,AL3,train,2025-01-05T22:01:29.710371
FL1220,TAIL1013,AL3,train,2025-01-06T02:29:54.514989
FL1221,TAIL1013,AL3,val,2025-01-06T06:58:17.203523
FL1222,TAIL1013,AL3,val,2025-01-06T15:53:10.058609
FL1223,TAIL1013,AL3,test,2025-01-06T23:42:18.727151
FL1224,TAIL1013,AL3,test,2025-01-07T05:11:06.008898
FL1225,TAIL1013,AL3,test,2025-01-07T15:18:55.176811
FL1226,TAIL1013,AL3,test,2025-01-07T20:18:31.403229
FL1227,TAIL1014,AL3,train,2025-01-02T16:00:00
FL1228,TAIL1014,AL3,train,2025-01-02T22:19:18.078175
FL1229,TAIL1014,AL3,train,2025-01-03T06:30:08.948562
FL1230,TAIL1014,AL3,train,2025-01-03T10:23:32.674832
FL1231,TAIL1014,AL3,train,2025-01-03T14:02:53.008078
FL1232,TAIL1014,AL3,train,2025-01-03T23:10:31.165312
FL1233,TAIL1014,AL3,train,2025-01-04T05:43:34.550822
FL1234,TAIL1014,AL3,train,2025-01-04T13:53:14.277305
FL1235,TAIL1014,AL3,train,2025-01-04T21:13:33.254882
FL1236,TAIL1014,AL3,train,2025-01-05T09:21:17.447276
FL1237,TAIL1014,AL3,train,2025-01-05T21:00:16.778006
FL1238,TAIL1014,AL3,train,2025-01-06T03:19:28.892785
FL1239,TAIL1014,AL3,train,2025-01-06T09:37:32.402078
FL1240,TAIL1014,AL3,val,2025-01-06T17:32:56.827013
FL1241,TAIL1014,AL3,val,2025-01-06T22:02:16.792943
FL1242,TAIL1014,AL3,test,2025-01-07T05:42:15.965892
FL1243,TAIL1014,AL3,test,2025-01-07T10:33:00.438629
FL1244,TAIL1014,AL3,test,2025-01-07T15:48:54.932263
FL1245,TAIL1014,AL3,test,2025-01-07T22:06:22.925072
FL1246,TAIL1015,AL2,train,2025-01-02T01:00:00
FL1247,TAIL1015,AL2,train,2025-01-02T11:00:52.297320
FL1248,TAIL1015,AL2,train,2025-01-02T16:36:30.068258
FL1249,TAIL1015,AL2,train,2025-01-02T22:36:18.245043
FL1250,TAIL1015,AL2,train,2025-01-03T04:40:47.834997
FL1251,TAIL1015,AL2,train,2025-01-03T14:17:19.053495
FL1252,TAIL1015,AL2,train,2025-01-03T21:26:41.665487
FL1253,TAIL1015,AL2,train,2025-01-04T01:59:28.767759
FL1254,TAIL1015,AL2,train,2025-01-04T05:56:02.226782
FL1255,TAIL1015,AL2,train,2025-01-04T13:13:51.240149
FL1256,TAIL1015,AL2,val,2025-01-05T00:46:12.935827
FL1257,TAIL1015,AL2,val,2025-01-05T05:28:48.708977
FL1258,TAIL1015,AL2,test,2025-01-05T11:36:55.812197
FL1259,TAIL1015,AL2,test,2025-01-05T16:57:55.893387
FL1260,TAIL1015,AL2,test,2025-01-06T00:12:48.309592
FL1261,TAIL1016,AL2,train,2025-01-02T16:00:00
FL1262,TAIL1016,AL2,train,2025-01-02T21:45:22.336636
FL1263,TAIL1016,AL2,train,2025-01-03T04:04:30.368074
FL1264,TAIL1016,AL2,train,2025-01-03T08:21:27.547018
FL1265,TAIL1016,AL2,train,2025-01-03T14:04:58.844395
FL1266,TAIL1016,AL2,train,2025-01-04T04:03:54.227697
FL1267,TAIL1016,AL2,train,2025-01-04T09:51:36.589517
FL1268,TAIL1016,AL2,train,2025-01-04T13:53:10.733522
FL1269,TAIL1016,AL2,train,2025-01-04T19:22:06.516708
FL1270,TAIL1016,AL2,val,2025-01-05T02:46:46.024929
FL1271,TAIL1016,AL2,val,2025-01-05T08:15:38.880182
FL1272,TAIL1016,AL2,test,2025-01-05T13:53:32.618036
FL1273,TAIL1016,AL2,test,2025-01-05T21:53:19.118508
FL1274,TAIL1016,AL2,test,2025-01-06T06:28:32.728470
FL1275,TAIL1017,AL1,train,2025-01-01T22:00:00
FL1276,TAIL1017,AL1,train,2025-01-02T02:52:24.527510
FL1277,TAIL1017,AL1,train,2025-01-02T08:55:16.133340
FL1278,TAIL1017,AL1,train,2025-01-02T14:07:37.272505
FL1279,TAIL1017,AL1,train,2025-01-02T20:05:25.950054
FL1280,TAIL1017,AL1,train,2025-01-03T01:43:21.438751
FL1281,TAIL1017,AL1,train,2025-01-03T05:58:50.582132
FL1282,TAIL1017,AL1,train,2025-01-03T13:02:36.888417
FL1283,TAIL1017,AL1,train,2025-01-03T18:26:22.821333
FL1284,TAIL1017,AL1,train,2025-01-03T23:09:01.387992
FL1285,TAIL1017,AL1,train,2025-01-04T04:35:59.188349
FL1286,TAIL1017,AL1,train,2025-01-04T06:56:17.746898
FL1287,TAIL1017,AL1,train,2025-01-04T14:40:28.717068
FL1288,TAIL1017,AL1,train,2025-01-04T21:59:17.164640
FL1289,TAIL1017,AL1,train,2025-01-05T10:56:21.987856
FL1290,TAIL1017,AL1,val,2025-01-05T15:08:07.668496
FL1291,TAIL1017,AL1,val,2025-01-05T21:34:23.252315
FL1292,TAIL1017,AL1,val,2025-01-06T04:20:51.045213
FL1293,TAIL1017,AL1,test,2025-01-06T11:37:39.912752
FL1294,TAIL1017,AL1,test,2025-01-06T15:41:33.686075
FL1295,TAIL1017,AL1,test,2025-01-07T01:30:41.470042
FL1296,TAIL1017,AL1,test,2025-01-07T03:44:06.175762
FL1297,TAIL1018,AL4,train,2025-01-03T00:00:00
FL1298,TAIL1018,AL4,train,2025-01-03T02:54:38.656777
FL1299,TAIL1018,AL4,train,2025-01-03T08:31:38.974879
FL1300,TAIL1018,AL4,train,2025-01-03T15:53:50.691295
FL1301,TAIL1018,AL4,train,2025-01-03T19:24:09.441032
FL1302,TAIL1018,AL4,train,2025-01-03T22:09:14.652977
FL1303,TAIL1018,AL4,train,2025-01-04T03:18:21.821481
FL1304,TAIL1018,AL4,train,2025-01-04T08:31:20.822211
FL1305,TAIL1018,AL4,train,2025-01-04T20:06:11.635484
FL1306,TAIL1018,AL4,train,2025-01-05T00:52:08.345237
FL1307,TAIL1018,AL4,val,2025-01-05T06:05:01.308409
FL1308,TAIL1018,AL4,val,2025-01-05T11:20:44.635232
FL1309,TAIL1018,AL4,test,2025-01-05T17:05:45.166138
FL1310,TAIL1018,AL4,test,2025-01-05T23:04:58.024479
FL1311,TAIL1018,AL4,test,2025-01-06T06:59:00.307648
FL1312,TAIL1019,AL1,train,2025-01-02T13:00:00
FL1313,TAIL1019,AL1,train,2025-01-02T17:30:59.152459
FL1314,TAIL1019,AL1,train,2025-01-02T23:46:27.477664
FL1315,TAIL1019,AL1,train,2025-01-03T02:05:07.880284
FL1316,TAIL1019,AL1,train,2025-01-03T11:11:36.257022
FL1317,TAIL1019,AL1,train,2025-01-03T15:53:34.295443
FL1318,TAIL1019,AL1,train,2025-01-03T18:51:57.152620
FL1319,TAIL1019,AL1,train,2025-01-03T21:58:04.930621
FL1320,TAIL1019,AL1,train,2025-01-04T10:02:03.943474
FL1321,TAIL1019,AL1,train,2025-01-04T14:46:21.940063
FL1322,TAIL1019,AL1,train,2025-01-04T20:49:50.568296
FL1323,TAIL1019,AL1,train,2025-01-05T01:17:59.555161
FL1324,TAIL1019,AL1,train,2025-01-05T04:25:17.406088
FL1325,TAIL1019,AL1,train,2025-01-05T07:37:07.820375
FL1326,TAIL1019,AL1,val,2025-01-05T15:03:18.880801
FL1327,TAIL1019,AL1,val,2025-01-05T22:32:19.431475
FL1328,TAIL1019,AL1,val,2025-01-06T01:19:46.138070
FL1329,TAIL1019,AL1,test,2025-01-06T05:20:50.226283
FL1330,TAIL1019,AL1,test,2025-01-06T15:39:21.216679
FL1331,TAIL1019,AL1,test,2025-01-07T03:46:30.252280
FL1332,TAIL1020,AL4,train,2025-01-03T14:00:00
FL1333,TAIL1020,AL4,train,2025-01-03T19:52:38.086781
FL1334,TAIL1020,AL4,train,2025-01-04T05:07:39.260015
FL1335,TAIL1020,AL4,train,2025-01-04T09:39:56.901554
FL1336,TAIL1020,AL4,train,2025-01-04T15:34:02.006076
FL1337,TAIL1020,AL4,train,2025-01-04T23:21:47.009789
FL1338,TAIL1020,AL4,train,2025-01-05T04:11:40.935931
FL1339,TAIL1020,AL4,train,2025-01-05T07:35:41.665053
FL1340,TAIL1020,AL4,train,2025-01-05T10:58:29.859449
FL1341,TAIL1020,AL4,train,2025-01-05T17:54:43.644942
FL1342,TAIL1020,AL4,train,2025-01-05T21:26:55.069254
FL1343,TAIL1020,AL4,train,2025-01-06T03:19:04.070157
FL1344,TAIL1020,AL4,train,2025-01-06T08:18:53.037678
FL1345,TAIL1020,AL4,train,2025-01-06T11:59:00.593894
FL1346,TAIL1020,AL4,val,2025-01-06T18:04:56.174421
FL1347,TAIL1020,AL4,val,2025-01-07T00:45:25.692053
FL1348,TAIL1020,AL4,val,2025-01-07T04:58:41.512798
FL1349,TAIL1020,AL4,test,2025-01-07T09:29:58.670050
FL1350,TAIL1020,AL4,test,2025-01-07T15:00:27.583478
FL1351,TAIL1020,AL4,test,2025-01-07T21:38:34.492962
FL1352,TAIL1021,AL1,train,2025-01-03T05:00:00
FL1353,TAIL1021,AL1,train,2025-01-03T09:49:31.770138
FL1354,TAIL1021,AL1,train,2025-01-03T13:28:48.361711
FL1355,TAIL1021,AL1,train,2025-01-03T18:52:36.266649
FL1356,TAIL1021,AL1,train,2025-01-03T23:04:01.557614
FL1357,TAIL1021,AL1,train,2025-01-04T03:30:48.655534
FL1358,TAIL1021,AL1,train,2025-01-04T13:04:32.111417
FL1359,TAIL1021,AL1,train,2025-01-04T18:06:34.137709
FL1360,TAIL1021,AL1,train,2025-01-04T23:11:09.534213
FL1361,TAIL1021,AL1,train,2025-01-05T04:27:27.808004
FL1362,TAIL1021,AL1,train,2025-01-05T10:17:02.382190
FL1363,TAIL1021,AL1,train,2025-01-05T14:55:18.293330
FL1364,TAIL1021,AL1,train,2025-01-06T01:33:51.251545
FL1365,TAIL1021,AL1,train,2025-01-06T12:39:24.941309
FL1366,TAIL1021,AL1,train,2025-01-06T18:33:01.195049
FL1367,TAIL1021,AL1,train,2025-01-06T23:43:55.278147
FL1368,TAIL1021,AL1,val,2025-01-07T05:28:56.404756
FL1369,TAIL1021,AL1,val,2025-01-07T08:32:59.741360
FL1370,TAIL1021,AL1,val,2025-01-07T13:41:38.664270
FL1371,TAIL1021,AL1,test,2025-01-07T19:25:21.828583
FL1372,TAIL1021,AL1,test,2025-01-08T00:11:05.464951
FL1373,TAIL1021,AL1,test,2025-01-08T04:30:58.461089
FL1374,TAIL1021,AL1,test,2025-01-08T10:08:57.448739
FL1375,TAIL1022,AL1,train,2025-01-01T07:00:00
FL1376,TAIL1022,AL1,train,2025-01-01T11:06:55.227698
FL1377,TAIL1022,AL1,train,2025-01-01T18:09:18.276303
FL1378,TAIL1022,AL1,train,2025-01-02T04:03:20.675381
FL1379,TAIL1022,AL1,train,2025-01-02T09:33:56.468602
FL1380,TAIL1022,AL1,train,2025-01-02T12:19:22.089190
FL1381,TAIL1022,AL1,train,2025-01-02T19:21:50.204196
FL1382,TAIL1022,AL1,train,2025-01-03T00:53:39.888496
FL1383,TAIL1022,AL1,train,2025-01-03T04:46:27.292431
FL1384,TAIL1022,AL1,train,2025-01-03T08:30:19.221492
FL1385,TAIL1022,AL1,train,2025-01-03T13:32:59.724723
FL1386,TAIL1022,AL1,val,2025-01-03T17:51:57.625727
FL1387,TAIL1022,AL1,val,2025-01-03T23:38:39.601544
FL1388,TAIL1022,AL1,test,2025-01-04T05:52:49.241720
FL1389,TAIL1022,AL1,test,2025-01-04T12:45:35.287423
FL1390,TAIL1022,AL1,test,2025-01-04T17:23:40.374491
FL1391,TAIL1022,AL1,test,2025-01-04T20:18:52.114748
FL1392,TAIL1023,AL3,train,2025-01-01T13:00:00
FL1393,TAIL1023,AL3,train,2025-01-01T19:27:21.895932
FL1394,TAIL1023,AL3,train,2025-01-02T10:36:40.317729
FL1395,TAIL1023,AL3,train,2025-01-02T16:29:51.837605
FL1396,TAIL1023,AL3,train,2025-01-03T01:28:04.105225
FL1397,TAIL1023,AL3,train,2025-01-03T05:47:07.972775
FL1398,TAIL1023,AL3,train,2025-01-03T11:44:02.875840
FL1399,TAIL1023,AL3,train,2025-01-03T16:44:08.507371
FL1400,TAIL1023,AL3,train,2025-01-04T01:05:50.346730
FL1401,TAIL1023,AL3,train,2025-01-04T09:19:36.441450
FL1402,TAIL1023,AL3,val,2025-01-04T15:58:30.844133
FL1403,TAIL1023,AL3,val,2025-01-04T18:27:35.721549
FL1404,TAIL1023,AL3,test,2025-01-04T23:32:28.765655
FL1405,TAIL1023,AL3,test,2025-01-05T07:47:27.374332
FL1406,TAIL1023,AL3,test,2025-01-05T18:56:14.728709
FL1407,TAIL1024,AL4,train,2025-01-04T02:00:00
FL1408,TAIL1024,AL4,train,2025-01-04T11:35:13.634185
FL1409,TAIL1024,AL4,train,2025-01-04T18:48:51.999196
FL1410,TAIL1024,AL4,train,2025-01-05T04:21:41.292985
FL1411,TAIL1024,AL4,train,2025-01-05T18:03:07.299067
