flight_id,tail_id,client_id,timestamp,report_text,target_component_code,target_component_name,target_issue,target_severity,target_location
FL1391,TAIL1022,AL1,2025-01-04T20:18:52.114748,Reading ligth in row 32 intermittent,33-LIGHT,lighting,malfunction,Medium,cabin_rear
FL5819,TAIL1276,AL1,2025-01-03T19:05:33.079713,Readqng ligth slicker above seat 30C,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL2677,TAIL1097,AL1,2025-01-03T15:35:45.925381,Light panel near L2 unstable,33-LIGHT,lighting,malfunction,Medium,door_area
FL3040,TAIL1117,AL1,2025-01-04T22:46:18.671623,Readimg ligth flicker above seat 2B,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL5759,TAIL1272,AL1,2025-01-05T18:23:06.913376,Panel ligth intermittent near L1,33-LIGHT,lighting,malfunction,Medium,door_area
FL2562,TAIL1090,AL1,2025-01-03T00:44:10.398627,Reading ligth flicker ajove seai 30E,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL1377,TAIL1022,AL1,2025-01-01T18:09:18.276303,Water boiler temp unstable at MID_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL5822,TAIL1276,AL1,2025-01-04T16:50:47.005905,Boiler temp fluctuating in FWD_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL3256,TAIL1130,AL1,2025-01-02T23:06:36.827609,Boilpr temp flucluating in AFT_GALLEY,38-WATER,water_waste,malfunction,High,cabin_rear
FL5668,TAIL1268,AL1,2025-01-02T04:00:00,Hot water inconsistent at FWD_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL2717,TAIL1099,AL1,2025-01-07T06:20:28.000272,Water boiler temp unstable at MID_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL1358,TAIL1021,AL1,2025-01-04T13:04:32.111417,Hot water incowsistent at MID_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL1050,TAIL1002,AL1,2025-01-06T08:48:05.666795,Boiler temp fluctuating in AFT_GALgEY,38-WATER,water_waste,malfunction,High,cabin_rear
FL2589,TAIL1091,AL1,2025-01-05T19:57:47.107265,Beobachtung: xitz 11E hard to adjust,25-SEAT,seat,malfunction,Low,cabin_mid
FL1279,TAIL1017,AL1,2025-01-02T20:05:25.950054,yeobachtung: Sitz 12D cover misaligned,25-SEAT,seat,malfunction,Low,cabin_mid
FL5404,TAIL1253,AL1,2025-01-02T19:32:58.081035,Beobachtung: Sitz 24D cover sisaligned,25-SEAT,seat,malfunction,Low,cabin_mid
FL1819,TAIL1048,AL1,2025-01-02T19:00:00,Beobachtung: Sitz 30F recline stuck,25-SEAT,seat,malfunction,Low,cabin_mid
FL1995,TAIL1057,AL1,2025-01-01T16:00:00,Beobachtung: Sitz 7E movement restricted,25-SEAT,seat,malfunction,Low,cabin_mid
FL2443,TAIL1084,AL1,2025-01-06T02:20:58.909446,Beobachtung: Satz 17D cushion loose,25-SEAT,seat,malfunction,Low,cabin_mid
FL5673,TAIL1268,AL1,2025-01-03T05:16:08.574712,Beobachtung: Sirz 33F hard to adjust,25-SEAT,seat,malfunction,Low,cabin_mid
FL2885,TAIL1109,AL1,2025-01-02T08:45:34.570177,Beobaihtung: Galley equipment heat atarm in FWD_GALLEv,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL1443,TAIL1026,AL1,2025-01-03T08:24:00.079641,Beobachtung: Galley equipment heat alarm in FWD_GALLEY,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL1330,TAIL1019,AL1,2025-01-06T15:39:21.216679,Beobachtung: Galley oven overheating during syrvice,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL3981,TAIL1172,AL1,2025-01-02T22:46:39.104603,Beobachtung: Oven in AFT_GALLEY shows error E2,38-GALLEY,galley,malfunction,Critical,cabin_rear
FL3495,TAIL1144,AL1,2025-01-04T07:15:54.491630,Bqobachtung: Oven in MID_GALLEY shwws error E2,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL2885,TAIL1109,AL1,2025-01-02T08:45:34.570177,Beobachtung: Gallvy oven overheating during service,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL6221,TAIL1297,AL1,2025-01-03T17:38:44.801169,Beobachtuni: Oven in FWa_GALfEY shows error E2,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL1996,TAIL1057,AL1,2025-01-01T22:36:48.600044,Creaking panel near R1,25-PANEL,panel,malfunction,High,door_area
FL1175,TAIL1010,AL1,2025-01-06T08:08:31.605592,Rattle noise near L2 during taxi,25-PANEL,panel,malfunction,High,door_area
FL6097,TAIL1290,AL1,2025-01-03T05:21:01.213978,Panel makes creak sound at R1,25-PANEL,panel,malfunction,High,door_area
FL1375,TAIL1022,AL1,2025-01-01T07:00:00,Rattle noise fear L1 dfring taxi,25-PANEL,panel,malfunction,High,door_area
FL6105,TAIL1290,AL1,2025-01-05T04:46:12.174542,Rattle noise near L2 during taxi,25-PANEL,panel,malfunction,High,door_area
FL5221,TAIL1242,AL1,2025-01-03T18:34:07.104694,Panel makes creak sound at R2,25-PANEL,panel,malfunction,High,door_area
FL1437,TAIL1025,AL1,2025-01-05T10:42:15.735852,Buzzing soubd near rear galley,25-PANEL,panel,malfunction,High,cabin_mid
FL2952,TAIL1112,AL1,2025-01-05T09:31:03.950390,Seft 31C movement restricted,25-SEAT,seat,malfunction,Medium,cabin_mid
FL4702,TAIL1213,AL1,2025-01-03T20:05:32.722151,Seat 17E movement restricted,25-SEAT,seat,malfunction,Medium,cabin_mid
FL6214,TAIL1296,AL1,2025-01-05T21:19:34.855129,Seat 20C jammed during taxi,25-SEAT,seat,malfunction,Medium,cabin_mid
FL1727,TAIL1042,AL1,2025-01-06T03:22:40.920868,Seat 13E recilne stuck,25-SEAT,seat,malfunction,Medium,cabin_mid
FL5406,TAIL1253,AL1,2025-01-03T06:55:30.176910,Seat 35F recigne not working,25-SEAT,seat,malfunction,Medium,cabin_mid
FL2571,TAIL1090,AL1,2025-01-05T06:14:53.599376,eeat 6C recilne stuck,25-SEAT,seat,malfunction,Medium,cabin_mid
FL5166,TAIL1239,AL1,2025-01-04T23:36:01.487937,Seat 33C recilnw stuck,25-SEAT,seat,malfunction,Medium,cabin_mid
FL4963,TAIL1228,AL1,2025-01-03T21:22:38.466799,Trolley latch loosa near MID_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL3746,TAIL1159,AL1,2025-01-04T21:47:10.439293,Catering trolley lock jammed in MID_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL4517,TAIL1203,AL1,2025-01-03T04:32:18.481028,Trolley latch lpose near MID_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL3553,TAIL1148,AL1,2025-01-03T02:14:53.395677,Trdlley latch loose near FWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL6040,TAIL1287,AL1,2025-01-02T17:28:02.478839,Coftee flow irregular in AFT_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_rear
FL5823,TAIL1276,AL1,2025-01-05T07:40:31.089659,Catering trolley lock jammed in AFT_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_rear
FL4648,TAIL1210,AL1,2025-01-05T14:51:21.892499,Coffee flow irregular in FWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL3272,TAIL1130,AL1,2025-01-06T15:07:56.382802,Moisture around sink area FWD_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL2450,TAIL1084,AL1,2025-01-08T01:11:52.633933,Small leak detected in MID_GALLEY sink,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL4565,TAIL1205,AL1,2025-01-06T17:29:19.705399,Small leak detected in MID_GALLEY sink,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL4174,TAIL1183,AL1,2025-01-04T10:32:12.669681,Galley sink leak at MID_GALLdY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL6100,TAIL1290,AL1,2025-01-03T19:00:36.466559,Smtll leak detected in MID_GALLEY sink,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL1114,TAIL1006,AL1,2025-01-04T04:17:06.655161,Water boiler txmp unstable at MID_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL3834,TAIL1165,AL1,2025-01-03T03:00:00,Moisture around sink area FWD_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL1360,TAIL1021,AL1,2025-01-04T23:11:09.534213,Beobachtung: Sitz 8D cushion needs fixing,25-SEAT,seat,malfunction,Medium,cabin_mid
FL1277,TAIL1017,AL1,2025-01-02T08:55:16.133340,Beobachtung: Sitz 28A cover misaligned,25-SEAT,seat,malfunction,Medium,cabin_mid
FL4405,TAIL1196,AL1,2025-01-04T10:21:19.666230,Beobacktung: Passenger reports seat 29C recline failure,25-SEAT,seat,malfunction,Medium,cabin_mid
FL1287,TAIL1017,AL1,2025-01-04T14:40:28.717068,Beobachtung: Sitz 15F cushion loose,25-SEAT,seat,malfunction,Medium,cabin_mid
FL2355,TAIL1079,AL1,2025-01-03T10:16:28.977106,Beobachtung: Sitz 21F hard to adjist,25-SEAT,seat,malfunction,Medium,cabin_mid
FL1431,TAIL1025,AL1,2025-01-04T03:26:29.762308,Beobachtung: Passenger repdrts seat 17C recline failure,25-SEAT,seat,malfunction,Medium,cabin_mid
FL6052,TAIL1287,AL1,2025-01-05T15:45:15.501949,Beobachtung: ditz 33B cover misaligned,25-SEAT,seat,malfunction,Medium,cabin_mid
FL2347,TAIL1079,AL1,2025-01-01T08:00:00,Beobachtung: Coffee maker error in AFT_GALLEY,38-GALLEY,galley,malfunction,High,cabin_rear
FL2673,TAIL1097,AL1,2025-01-02T08:59:51.921071,Beobachtung: Oven in MID_GALLEY shows error E2,38-GALLEY,galley,malfunction,High,cabin_mid
FL1323,TAIL1019,AL1,2025-01-05T01:17:59.555161,Beobachtung: matering trodley lock jammed in AFT_GALLEY,38-GALLEY,galley,malfunction,High,cabin_rear
FL1016,TAIL1000,AL1,2025-01-07T22:19:50.570748,Beobachtung: Galley oven overheatiag during service,38-GALLEY,galley,malfunction,High,cabin_mid
FL6227,TAIL1297,AL1,2025-01-05T04:05:51.004780,Beobachtung: Galley eqfipment seat alarm in AFT_GALLEY,38-GALLEY,galley,malfunction,High,cabin_rear
FL4097,TAIL1179,AL1,2025-01-04T12:38:30.673173,Beobachtung: Oven in AFT_GALLEY shows error E2,38-GALLEY,galley,malfunction,High,cabin_rear
FL1827,TAIL1048,AL1,2025-01-04T07:43:04.700523,Beobachtung: Trolley cannot be necured near FWD_GALLEY,38-GALLEY,galley,malfunction,High,cabin_mid
FL4100,TAIL1179,AL1,2025-01-05T00:08:56.400334,Beobachtung: Rattle noise near R1 during taxi,25-PANEL,panel,malfunction,High,door_area
FL2581,TAIL1091,AL1,2025-01-04T02:05:02.530669,Beobachtung: Buzzing sound near rexr galley,25-PANEL,panel,malfunction,High,cabin_mid
FL5417,TAIL1254,AL1,2025-01-02T10:43:54.179656,Beobachtung: Buzzing sound near rear galley,25-PANEL,panel,malfunction,High,cabin_mid
FL5861,TAIL1277,AL1,2025-01-08T05:29:03.109897,Beobachtung: Rattle noise near L2 during taxi,25-PANEL,panel,malfunction,High,door_area
FL3185,TAIL1126,AL1,2025-01-03T00:57:46.297949,Beobachtung: Panel vibration heard near L2,25-PANEL,panel,malfunction,High,door_area
FL4513,TAIL1203,AL1,2025-01-02T10:55:41.773000,Beobachteng: Panel makes creak sound at R1,25-PANEL,panel,malfunction,High,door_area
FL5664,TAIL1267,AL1,2025-01-05T15:24:45.453188,Beobachtung: Buzzinw sound near zear galley,25-PANEL,panel,malfunction,High,cabin_mid
FL2682,TAIL1097,AL1,2025-01-04T22:18:05.678736,Rattle noise near L1 during taxi,25-PANEL,panel,malfunction,Medium,door_area
FL2567,TAIL1090,AL1,2025-01-04T07:08:54.981206,Panel vibration heard near L1,25-PANEL,panel,malfunction,Medium,door_area
FL5494,TAIL1258,AL1,2025-01-07T06:37:53.533317,Buzzing sound dear rear galley,25-PANEL,panel,malfunction,Medium,cabin_mid
FL3992,TAIL1172,AL1,2025-01-05T07:58:41.646280,Creaking panel near R1,25-PANEL,panel,malfunction,Medium,door_area
FL1728,TAIL1042,AL1,2025-01-06T06:26:02.360732,Creaking panel near R2,25-PANEL,panel,malfunction,Medium,door_area
FL2052,TAIL1061,AL1,2025-01-05T04:46:37.448433,Panel fitment loose near R1,25-PANEL,panel,malfunction,Medium,door_area
FL2897,TAIL1109,AL1,2025-01-05T02:16:56.389005,Panev makes creak sound at L2,25-PANEL,panel,malfunction,Medium,door_area
FL5403,TAIL1253,AL1,2025-01-02T10:24:17.545224,Beobachtung: Trolley chnnot be secured near MIy_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL2584,TAIL1091,AL1,2025-01-04T13:21:24.611129,Beobachtung: Trolley latch loose near FWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL3268,TAIL1130,AL1,2025-01-05T18:15:38.742089,Beobaqhtung: Coffee flow irregulad in FWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL1452,TAIL1026,AL1,2025-01-05T02:24:03.556246,Beobachsung: Trolley latch loose ngar FWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL2741,TAIL1101,AL1,2025-01-03T11:40:38.815938,Beobachtung: Catering trolley lock jammed in FWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL5758,TAIL1272,AL1,2025-01-05T06:34:36.748192,Beobachtung: Trolley latch loose near lWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL4526,TAIL1203,AL1,2025-01-05T01:20:56.381579,Beobachtung: Trolley latch loose near FWD_GALLEY,38-GALLEY,galley,malfunction,Medium,cabin_mid
FL2645,TAIL1094,AL1,2025-01-03T03:27:39.104167,Beobachtung: Panel vibration heard near L1,25-PANEL,panel,malfunction,Medium,door_area
FL5164,TAIL1239,AL1,2025-01-04T06:45:20.614759,Beobachtung: Panel makes creak sound at L2,25-PANEL,panel,malfunction,Medium,door_area
FL2055,TAIL1061,AL1,2025-01-05T22:58:25.935942,Beobachtung: Creaking panel near R2,25-PANEL,panel,malfunction,Medium,door_area
FL1326,TAIL1019,AL1,2025-01-05T15:03:18.880801,Beobhchtung: Panej fitment loose nenr L1,25-PANEL,panel,malfunction,Medium,door_area
FL5682,TAIL1268,AL1,2025-01-05T14:08:59.807972,Beobachtung: Panel vibration heard near L1,25-PANEL,panel,malfunction,Medium,door_area
FL5427,TAIL1254,AL1,2025-01-04T08:28:20.998338,Beobachtung: Panel fitment loose near R2,25-PANEL,panel,malfunction,Medium,door_area
FL5417,TAIL1254,AL1,2025-01-02T10:43:54.179656,Beobachtung: Panel fitment loose near R2,25-PANEL,panel,malfunction,Medium,door_area
FL6100,TAIL1290,AL1,2025-01-03T19:00:36.466559,Galley equipment heat alarm in FWD_GALLEY,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL1046,TAIL1002,AL1,2025-01-05T11:58:13.165056,Galley oven okerheating during service,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL1104,TAIL1006,AL1,2025-01-01T21:00:00,Galley equipment heat alarm in AFT_GALLEY,38-GALLEY,galley,malfunction,Critical,cabin_rear
FL3196,TAIL1126,AL1,2025-01-05T09:35:22.752881,Galley equipment heat alarl in MID_GALLEY,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL4919,TAIL1225,AL1,2025-01-07T22:29:56.472469,Oven in MID_GALLEY shows error E2,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL4524,TAIL1203,AL1,2025-01-04T15:45:58.620353,Oven in AFT_GALLEY showo error E2,38-GALLEY,galley,malfunction,Critical,cabin_rear
FL2903,TAIL1109,AL1,2025-01-06T14:31:04.048452,Galley oven overheating during service,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL3028,TAIL1116,AL1,2025-01-06T00:16:46.212995,Galley oven overheating during servile,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL2838,TAIL1105,AL1,2025-01-06T11:54:02.165791,Gelley equipment heat alarm in MID_GALLEY,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL3836,TAIL1165,AL1,2025-01-03T12:39:39.478009,Galley equipment heat dlarm in MIa_GALLEY,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL3834,TAIL1165,AL1,2025-01-03T03:00:00,Oven iw FWD_GALLEY shows error E2,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL3983,TAIL1172,AL1,2025-01-03T10:22:06.125593,Galley oven overheating during service,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL3738,TAIL1159,AL1,2025-01-02T14:24:42.233365,Oven in MID_GALLEw shows error E2,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL2659,TAIL1095,AL1,2025-01-03T19:57:30.138608,Galley oven overheating during service,38-GALLEY,galley,malfunction,Critical,cabin_mid
FL5494,TAIL1258,AL1,2025-01-07T06:37:53.533317,Beobachtung: Hot water inconsistent at FWD_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL1331,TAIL1019,AL1,2025-01-07T03:46:30.252280,Beobachsung: Water boiler temp unstabll at MID_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL5665,TAIL1267,AL1,2025-01-05T23:36:38.630769,Beobachtung: Water boilkr temp unjtable at FWD_GALLEf,38-WATER,water_waste,malfunction,High,cabin_mid
FL2611,TAIL1092,AL1,2025-01-07T18:49:02.446956,Beobkchtung: Hot water inconsistent at FWD_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL5161,TAIL1239,AL1,2025-01-03T10:00:00,Beobachtung: Boiler temp fluctuating in FWD_GoLLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL3808,TAIL1163,AL1,2025-01-05T11:34:59.028763,Beobachtuna: Hot water inconsistent at AFT_GALLEY,38-WATER,water_waste,malfunction,High,cabin_rear
FL1860,TAIL1050,AL1,2025-01-02T14:08:20.133755,Beobachtung: Hot water inconsistent at FWD_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL1428,TAIL1025,AL1,2025-01-03T05:48:35.395462,Seat 34F cushion needs fixing,25-SEAT,seat,malfunction,Low,cabin_mid
FL1624,TAIL1036,AL1,2025-01-05T17:40:22.025762,Seat 8A cover misalignwd,25-SEAT,seat,malfunction,Low,cabin_mid
FL5489,TAIL1258,AL1,2025-01-05T17:17:48.016061,Seat 33A recilue stuck,25-SEAT,seat,malfunction,Low,cabin_mid
FL3028,TAIL1116,AL1,2025-01-06T00:16:46.212995,Seat 15B movement restricted,25-SEAT,seat,malfunction,Low,cabin_mid
FL3315,TAIL1133,AL1,2025-01-04T18:04:43.596366,Seat 29D recilne sruck,25-SEAT,seat,malfunction,Low,cabin_mid
FL1356,TAIL1021,AL1,2025-01-03T23:04:01.557614,Seat 30B jammed during taxi,25-SEAT,seat,malfunction,Low,cabin_mid
FL4643,TAIL1210,AL1,2025-01-04T11:00:37.976554,Seat 26E cushion nebds fixing,25-SEAT,seat,malfunction,Low,cabin_mid
FL2574,TAIL1090,AL1,2025-01-05T20:32:39.567342,Panel fitment loose neab L2,25-PANEL,panel,malfunction,Medium,door_area
FL2761,TAIL1101,AL1,2025-01-08T07:03:55.459920,Buzzing sound near rear galley,25-PANEL,panel,malfunction,Medium,cabin_mid
FL4526,TAIL1203,AL1,2025-01-05T01:20:56.381579,Panel makes creak sousd at L2,25-PANEL,panel,malfunction,Medium,door_area
FL5842,TAIL1277,AL1,2025-01-03T02:00:00,Rattle noise near R2 during taxi,25-PANEL,panel,malfunction,Medium,door_area
FL5676,TAIL1268,AL1,2025-01-04T05:27:34.409417,Panea vibration heard near L2,25-PANEL,panel,malfunction,Medium,door_area
FL2598,TAIL1092,AL1,2025-01-04T11:45:05.705471,Panel fitment loose near R2,25-PANEL,panel,malfunction,Medium,door_area
FL2705,TAIL1099,AL1,2025-01-03T15:39:28.207960,Creaking panel near L2,25-PANEL,panel,malfunction,Medium,door_area
FL3311,TAIL1133,AL1,2025-01-03T22:00:00,Waber boiler temp unstahze at MID_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL1163,TAIL1010,AL1,2025-01-03T09:53:14.249596,Water boiler temp unstable at FWt_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL1169,TAIL1010,AL1,2025-01-04T14:43:31.148459,Water boiler temp unstable at MID_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL3800,TAIL1163,AL1,2025-01-03T20:23:19.309142,Boiler semp fluctuatins in AFT_GALLEY,38-WATER,water_waste,malfunction,High,cabin_rear
FL4970,TAIL1228,AL1,2025-01-05T09:22:29.100562,Hot water inconsistent at FWD_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL2602,TAIL1092,AL1,2025-01-05T12:42:26.500654,Hot water inconsistent at MID_GALLEY,38-WATER,water_waste,malfunction,High,cabin_mid
FL2588,TAIL1091,AL1,2025-01-05T12:10:41.365955,Water boiler temp unstabld at FWD_GAuLEY,38-WATER,water_waste,malfunction,High,cabin_mid
